0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.232,0.638,0.142,-0.036,-0.04,-0.028,-0.026,-0.46,0.002,-0.072,-0.532,0.12,-0.026,-0.286,-0.02,-0.07,-0.038,0.004,-0.014,0.336,0.006,0.022,0.328,-0.014,0.002,0.17,-0.052,0.8590074431659465,5.022521090626041,4.570884912491748,5.181420099618971,0.0
1.0,1.0,1.0,0.954,-0.012,-0.014,0.866,-0.284,-0.25,0.686,0.026,0.092,0.534,0.106,0.104,0.372,0.02,0.08,0.134,-0.064,0.014,-0.124,0.006,-0.038,-0.314,-0.036,0.006,-0.528,-0.01,0.014,3.199048885857873,0.06092688966624049,9.209020315298325,1.3719971315122366,0.0
1.0,1.0,1.0,0.494,0.654,0.296,0.268,-0.042,-0.018,0.066,-0.804,-0.042,-0.042,-0.98,0.034,-0.018,-0.496,0.042,0.012,0.324,0.016,0.016,0.926,0.026,-0.014,0.944,0.006,-0.022,0.32,-0.042,-4.137895056567572,3.3952218522807813,4.798805168966372,1.7271518642068622,0.0
1.0,1.0,1.0,0.572,0.222,0.118,0.116,-0.368,-0.02,-0.118,-0.254,0.04,-0.292,0.034,-0.018,-0.234,0.104,-0.074,-0.076,0.066,0.034,-0.004,-0.076,-0.012,0.088,-0.024,-0.008,0.046,-0.06,0.066,2.3546823812672195,1.809581559832026,6.9564945195003665,3.776070438349035,0.0
1.0,1.0,1.0,0.336,0.178,0.078,-0.454,-0.288,0.11,-0.574,-0.188,0.086,-0.106,0.032,0.05,0.376,0.07,-0.014,0.258,0.03,0.072,-0.022,-0.008,-0.034,-0.216,0.046,-0.018,-0.18,0.008,-0.004,2.8812382928994715,1.03419561484812,6.900581685065055,6.552798655400459,0.0
1.0,1.0,1.0,0.506,0.414,0.2,-0.074,0.078,-0.06,-0.31,-0.092,0.05,-0.266,-0.05,0.02,-0.13,-0.04,0.054,0.098,0.0,-0.01,0.114,-0.01,-0.024,0.082,-0.004,0.062,-0.032,0.014,-0.034,3.5023047409650347,1.835580573358961,3.810850789837925,4.922571460310867,0.0
1.0,1.0,1.0,0.25,0.13,0.048,0.056,-0.136,-0.02,-0.034,-0.114,0.008,0.02,-0.044,-0.012,-0.056,0.032,-0.004,-0.024,0.056,-0.004,-0.006,-0.024,0.022,-0.016,0.018,0.03,0.018,-0.01,0.024,4.113930761371458,5.8823481906365185,6.709974364232222,3.7317281078141393,0.0
1.0,1.0,1.0,0.874,0.482,0.416,0.476,-0.544,-0.268,-0.012,-0.998,0.014,-0.518,-0.412,0.246,-0.866,0.596,-0.522,-1.0,0.986,-0.986,-0.876,0.314,-0.254,-0.522,-0.638,0.32,0.012,-0.976,-0.02,-1.2791973404099868,-3.101723019608662,6.1489802502334365,2.987068057687544,0.0
1.0,1.0,1.0,0.296,0.22,0.088,-0.784,-0.018,-0.03,-0.846,0.018,-0.028,0.288,0.014,0.05,0.996,0.008,0.012,0.356,0.022,0.046,-0.794,-0.038,0.012,-0.868,-0.034,0.034,0.22,-0.016,0.02,6.624775959397768,-1.0187046211163642,3.8521031070138845,7.133823770472344,0.0
1.0,1.0,1.0,-0.04,0.618,-0.002,-0.794,0.212,-0.202,0.048,-0.07,-0.05,0.578,-0.186,-0.136,-0.072,-0.276,0.036,-0.464,-0.18,0.076,0.036,-0.128,0.008,0.34,0.018,0.002,-0.078,0.072,-0.038,1.4546810229435017,0.7545282724432303,3.4031833021419793,9.141541971032412,0.0
