0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.46,0.39,0.138,0.208,-0.226,-0.042,0.08,-0.346,-0.062,-0.024,-0.144,-0.032,0.03,0.03,0.012,0.032,0.1,0.056,0.014,0.04,0.006,-0.026,0.01,0.008,-0.046,0.006,-0.008,2.052748087671463,3.9444418610364855,5.5831285050659645,1.76435580939112,0.0
1.0,1.0,1.0,0.4,0.63,0.294,-0.412,-0.172,0.036,-0.604,-0.82,0.512,-0.232,-0.882,0.214,0.298,-0.336,-0.102,0.396,0.424,0.212,0.088,0.868,0.072,-0.234,0.682,-0.192,-0.288,0.05,-0.078,0.11760257855836165,0.9345039595408329,4.959962170777471,6.181548356204036,0.0
1.0,1.0,1.0,0.318,0.946,0.328,-0.034,0.862,-0.024,-0.13,0.75,-0.092,-0.06,0.664,-0.056,0.0,0.566,-0.002,0.054,0.432,-0.018,0.03,0.302,-0.028,0.012,0.156,0.024,-0.028,0.108,-0.052,0.2996719336317424,3.699170559400489,0.8667741590166704,5.229355446356839,0.0
1.0,1.0,1.0,0.372,0.464,0.228,-0.38,0.032,-0.016,-0.472,-0.164,0.08,-0.246,-0.118,0.056,0.192,-0.074,-0.002,0.24,-0.026,0.014,0.12,0.034,0.01,-0.1,0.006,-0.002,-0.132,0.008,0.024,2.8583912605416977,1.424907851147593,4.480397918787294,6.083928923716036,0.0
1.0,1.0,1.0,-0.086,0.726,-0.088,-0.354,0.036,-0.038,0.078,-0.644,-0.018,0.166,-0.988,-0.17,-0.07,-0.82,0.054,-0.068,-0.216,0.008,0.022,0.546,0.008,-0.008,0.968,-0.016,0.002,0.878,0.008,-2.065498605734808,2.600204302277372,4.322539868041425,9.591059721867481,0.0
1.0,1.0,1.0,0.49,0.28,0.174,0.156,-0.776,-0.104,-0.068,-0.684,0.076,-0.022,0.252,-0.026,-0.112,0.842,-0.126,-0.082,0.248,-0.034,-0.03,-0.654,0.008,0.002,-0.63,0.02,-0.056,0.182,-0.002,0.18362860947815474,2.6146717099379932,7.175183410863919,3.344839561099244,0.0
1.0,1.0,1.0,0.384,0.05,0.03,0.086,-0.346,-0.024,0.004,-0.064,0.0,-0.024,0.118,-0.026,-0.054,0.038,-0.028,-0.068,-0.028,-0.008,-0.036,0.004,0.024,0.056,-0.044,-0.032,-0.058,-0.01,0.02,2.9827614121072203,4.6340485203103885,8.168450214540279,3.2468473551795545,0.0
1.0,1.0,1.0,0.34,0.654,0.21,0.048,0.422,0.098,-0.12,0.258,-0.046,-0.068,0.16,0.016,-0.058,0.078,0.028,0.006,0.082,0.028,0.012,0.004,0.028,-0.014,-0.012,0.01,0.024,0.002,0.058,2.741847199335519,3.6920563982631753,-0.28512854878708094,3.957421840599281,0.0
1.0,1.0,1.0,0.928,0.512,0.464,0.73,0.098,0.088,0.436,-0.184,-0.04,0.154,-0.242,-0.02,-0.21,-0.172,0.126,-0.508,-0.034,0.038,-0.772,0.014,-0.03,-0.932,0.014,-0.01,-0.95,-0.01,0.028,2.0758676731685175,0.030746528965659436,4.143731300044059,2.0801803165820796,0.0
1.0,1.0,1.0,0.334,0.38,0.138,-0.178,-0.18,0.038,-0.174,-0.276,0.05,-0.138,-0.154,0.072,0.012,-0.014,-0.01,0.08,0.106,-0.006,0.022,0.078,0.044,-0.062,0.02,-0.03,0.034,-0.004,-0.014,2.3061077171741013,2.8989842230307206,5.3912307458308995,5.419399873549941,0.0
1.0,1.0,1.0,0.094,0.36,-0.01,-0.992,-0.254,0.25,-0.214,-0.324,0.066,0.946,-0.128,-0.134,0.338,0.038,-0.032,-0.888,0.142,-0.13,-0.512,0.04,-0.036,0.802,-0.032,-0.022,0.638,-0.054,-0.024,2.1924782961657825,-1.5223324801910758,5.731368159652422,8.55490998022691,0.0
