0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,10_0,10_1,10_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.436,0.172,0.08,0.05,-0.344,-0.03,-0.042,-0.234,0.044,-0.08,0.014,-0.002,-0.018,0.172,0.014,-0.006,0.034,-0.016,-0.026,-0.044,0.034,-0.02,-0.076,0.008,0.04,0.022,-0.006,-0.018,0.098,-0.02,2.555961676318627,4.496753260810763,7.45607681352331,3.5042003063717733,1.3853052529757273
1.0,1.0,1.0,0.28,0.164,0.024,-0.172,-0.19,0.106,-0.166,0.002,0.06,-0.09,0.052,-0.018,0.008,0.046,-0.03,-0.076,0.008,-0.072,-0.018,-0.014,-0.056,0.0,-0.028,-0.012,-0.008,-0.03,0.054,0.02,-0.006,0.03,4.396673125259483,3.389104062059983,7.143404247923263,5.15534617697003,2.221178407529402
1.0,1.0,1.0,0.156,0.372,0.072,-0.07,-0.53,0.06,-0.094,-0.81,0.072,-0.026,-0.178,0.02,-0.028,0.494,-0.022,-0.054,0.554,-0.044,-0.01,0.036,0.026,0.004,-0.448,-0.012,0.09,-0.374,0.052,0.012,0.058,0.006,0.4745000540272817,7.576127199526064,6.862434547793801,6.215997930260919,0.5170070888369658
1.0,1.0,1.0,0.052,0.376,0.016,-0.142,-0.286,0.248,-0.034,0.064,0.146,-0.074,0.238,-0.004,-0.064,-0.672,0.04,0.02,-0.976,-0.012,-0.016,-0.166,-0.046,0.04,0.226,-0.002,0.02,-0.288,0.028,-0.016,-0.16,-0.02,-0.0026841551997724977,2.856428855020674,3.3895730681774037,5.41744217039216,7.036928681490632
1.0,1.0,1.0,0.094,-0.058,-0.024,-0.024,-0.092,0.204,0.118,-0.106,0.0,-0.064,-0.9,0.072,-0.114,0.25,-0.06,-0.044,0.234,-0.026,-0.02,0.206,-0.046,0.02,0.742,-0.002,0.066,-0.452,0.01,0.016,-0.378,0.038,0.08673580827928573,3.44433519429441,5.707542108575901,3.1802234264169558,9.423512056859195
1.0,1.0,1.0,0.064,0.118,0.022,-0.022,-0.632,0.03,-0.02,-0.134,0.03,0.02,-0.064,0.072,-0.02,-0.366,0.01,-0.01,0.596,0.01,0.032,0.832,0.044,0.046,-0.374,0.04,0.016,-0.694,-0.006,0.002,0.038,0.032,-0.4332123818391329,7.583135094367027,6.339394162486419,6.0706957033587825,5.480029551421323
1.0,1.0,1.0,0.444,0.2,0.06,0.064,-0.14,-0.08,-0.054,-0.044,0.042,-0.062,-0.024,0.006,0.0,0.012,-0.036,0.01,0.03,-0.044,0.002,0.016,-0.014,-0.012,0.01,-0.018,-0.044,-0.02,-0.04,-0.01,-0.036,-0.074,4.103831823769689,2.8846413497378975,5.273497144980247,2.9421915547437276,3.8688958519399996
1.0,1.0,1.0,0.578,0.298,0.196,0.302,-0.082,-0.004,0.214,-0.154,-0.06,0.124,-0.018,-0.01,0.048,0.048,0.008,0.016,0.042,-0.014,0.046,-0.006,0.092,0.008,-0.004,0.016,-0.038,-0.038,0.028,0.052,-0.012,0.052,4.432811512872637,3.41457757540532,6.2260166283553,-0.1328000972687935,-0.7300889051458661
1.0,1.0,1.0,0.242,0.126,0.108,-0.196,-0.346,0.082,-0.1,-0.098,0.034,0.036,0.056,0.016,0.012,0.04,0.024,0.078,-0.01,0.008,-0.01,0.006,-0.024,0.07,-0.002,0.0,0.028,0.008,0.0,-0.07,0.0,0.038,2.782975332517408,3.3153994132983193,6.5296771077633995,4.943330925462086,4.080472256847173
1.0,1.0,1.0,0.292,0.044,0.06,-0.03,-0.266,-0.02,-0.06,-0.01,0.018,0.002,-0.018,-0.008,0.048,0.02,0.004,-0.036,-0.02,0.0,-0.034,0.016,0.014,0.052,0.026,-0.006,0.006,-0.034,0.028,-0.028,0.044,-0.02,3.3219228834148504,3.8174600699386696,7.287234041894079,3.4646164161749784,5.283694862718748
1.0,1.0,1.0,0.216,0.148,0.04,-0.04,-0.038,-0.01,-0.096,-0.008,-0.004,0.016,0.034,0.01,-0.012,-0.018,0.03,-0.052,0.0,0.012,0.004,0.018,-0.006,-0.008,-0.018,-0.074,-0.056,0.01,0.002,-0.016,-0.016,-0.064,6.215015795930908,4.699205313749275,4.455448752370489,3.6459971766029415,4.287319762729274
1.0,1.0,1.0,-0.088,0.056,-0.048,0.01,-0.048,0.066,0.016,0.022,-0.002,-0.054,-0.01,-0.036,-0.098,-0.036,0.05,0.026,-0.016,0.014,0.044,-0.034,-0.01,0.038,0.022,0.016,-0.048,0.006,-0.022,0.02,0.02,-0.024,5.6113447115395045,8.678293981865579,5.165967564993649,9.41406131072581,7.746169357987141
1.0,1.0,1.0,0.24,0.206,0.05,-0.326,0.006,-0.016,-0.22,-0.034,0.054,-0.014,0.078,-0.008,0.018,0.05,0.044,0.036,0.01,-0.006,0.038,0.004,0.042,0.052,0.028,0.016,0.044,0.014,-0.006,-0.08,-0.024,-0.068,6.678211188302853,1.9010083446197648,3.1971970057045613,5.665566746717927,3.569840293898279
