0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.038,-0.0032,0.014,-0.0016,-0.0184,0.0064,4.634735974049635,2.9211395974689824,4.3815280469298346,5.356945297356704,2.596506291552981
1.0,1.0,1.0,-0.144,-0.2252,0.0684,-0.0104,-0.0268,0.0132,1.0661215851985708,1.9686067475002862,4.32010508391973,4.658098969424766,5.8668725206960755
1.0,1.0,1.0,0.022,-0.0196,0.0,0.0072,-0.016,0.0152,3.303793714345052,6.505847128328753,5.600023201050531,5.547660266336517,8.084727023256002
1.0,1.0,1.0,-0.0288,-0.5672,0.016,-0.0076,0.0096,-0.0204,-2.3591635069150776,4.464020188064573,4.217464959996058,5.88389273850492,5.960401899352641
1.0,1.0,1.0,0.0588,-0.0284,-0.0048,-0.0136,-0.0392,-0.0064,3.211511721212539,2.6289812755003066,5.5380442953597875,1.1353036041211735,8.536830544757436
1.0,1.0,1.0,-0.0064,-0.0996,-0.006,-0.0096,-0.026,-0.006,2.5786833646717557,4.7696054072476946,5.438095898474902,6.580682408738744,6.3633460021305
1.0,1.0,1.0,-0.0156,-0.4104,0.0188,-0.0008,-0.1224,0.0032,0.18127691321918782,5.486449864073535,2.0705406577654366,2.969127759522536,1.3608001828659044
1.0,1.0,1.0,-0.012,-0.1076,0.0044,0.002,-0.0132,-0.0072,1.81311283239064,6.493589012464543,3.2086262323188284,8.03015054525114,6.7161082818619935
1.0,1.0,1.0,-0.0212,0.0772,0.0064,0.0056,0.0096,0.024,1.689632105970408,5.1701408746234545,10.479364301994053,5.825295163314539,4.7680553081855805
1.0,1.0,1.0,0.0128,-0.0084,0.006,0.0124,-0.0292,0.028,3.7824075074182026,4.315461816188829,6.22480776585229,7.491855430059395,4.448319644612583
1.0,1.0,1.0,0.0108,0.0012,-0.0216,-0.0268,0.0048,-0.034,2.2494827041925958,6.27535453671938,4.71757564250342,5.953641552049598,4.331769172278227
1.0,1.0,1.0,0.0024,-0.3096,0.0088,-0.0156,0.1092,0.0096,1.534532874628829,7.5551551007949165,3.9975796344243317,4.8258071165833725,7.775119893575744
1.0,1.0,1.0,-0.0416,0.0108,-0.01,-0.0076,0.1296,0.0172,1.1224863703285337,3.1352960672924453,7.763280574221715,2.7588756398968477,3.5564837504453255
1.0,1.0,1.0,0.0056,-0.0188,0.0012,0.018,-0.0356,0.016,5.2363460710303595,3.2352450112066067,3.608617622376813,4.369831437741035,3.830123993306464
1.0,1.0,1.0,0.0092,0.1836,0.108,0.0076,-0.8628,-0.0056,-0.37222883049999345,2.494038825142452,1.9834937229505147,8.898120815485559,4.496925538471198
1.0,1.0,1.0,0.078,0.05,0.0216,0.1452,-0.0344,-0.01,2.2194852592175778,0.8505871641552814,10.327722377476434,3.1001035475154706,4.6872141430625005
1.0,1.0,1.0,0.0524,-0.0408,-0.0084,0.0052,-0.0008,-0.0108,3.0080375927352945,4.803910284357812,6.317717415435821,3.1912115153220046,5.542994911492944
1.0,1.0,1.0,0.0164,-0.506,-0.0128,0.0088,0.1328,-0.0224,0.6118369047623418,5.147844567448991,5.071185094932047,0.04866712536542206,6.424416043393041
1.0,1.0,1.0,-0.8592,0.0144,-0.0016,0.5492,0.0076,0.0336,5.6242097375506805,-0.42935170993290317,5.344701949227692,4.040509585509661,0.8953215434889339
1.0,1.0,1.0,0.1204,0.0016,-0.014,0.4908,0.0588,0.0608,1.5802531307696182,0.07118078341814105,4.272576757185546,4.923948458099467,2.946332604787134
1.0,1.0,1.0,-0.0436,0.0108,0.0112,-0.0568,0.0112,0.0064,4.212785034525007,2.125182596843799,7.256117409260595,2.54848703939273,7.657912093210287
1.0,1.0,1.0,-0.0008,-0.01,0.0028,0.1592,-0.014,-0.018,4.840585371859833,1.0853076103109454,1.6362577657422963,7.619824637043386,4.664197368904342
1.0,1.0,1.0,-0.0972,-0.1144,0.0228,0.0044,0.0112,0.0012,2.6792608037631775,2.788056895362769,4.356541163250691,5.27172789975249,7.424280440548822
1.0,1.0,1.0,-0.1428,-0.0092,-0.0584,-0.2812,0.4364,-0.156,0.4214359107868968,0.6280262773655196,7.872096351027945,5.956136781142057,4.608230503274983
1.0,1.0,1.0,-0.0024,-0.0032,0.0032,-0.024,-0.0024,-0.0032,2.9796988130101614,3.9581537110867036,4.228789004739942,5.470177920870622,3.4853354244016534
1.0,1.0,1.0,-0.0296,-0.004,-0.0216,-0.0072,-0.0012,-0.0092,4.9624250149438085,3.6691922295383472,5.980374999671064,5.5984996561856,5.917128637701331
1.0,1.0,1.0,-0.024,-0.0296,-0.0088,0.0124,0.002,-0.016,3.924762460918604,2.7133971441709823,4.717446478502488,3.4853491774700984,6.096807757408442
