0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,-0.2688,-0.2936,0.132,0.0056,-0.0696,0.0064,-0.0104,0.0536,-0.0144,0.0048,0.0016,0.0032,2.1875788240076854,2.0909120224928377,5.274603430184692,7.480324685925767,4.109841872002107
1.0,1.0,1.0,-0.168,-0.2032,0.0704,0.0016,-0.0136,0.0296,-0.0352,-0.02,-0.0376,0.0232,-0.0056,-0.0048,2.466044861932155,2.9326152124741354,8.438402705627752,3.434109796588686,3.9885701155033075
1.0,1.0,1.0,-0.1768,-0.1112,0.064,-0.024,-0.0056,-0.004,0.0264,0.0024,-0.0032,-0.0304,-0.0112,-0.0096,4.027282167203996,2.6936559531321347,6.443067540027988,5.436250775119007,4.825851972155429
1.0,1.0,1.0,-0.0592,-0.0896,-0.0336,-0.1248,0.0208,0.0112,0.0056,0.016,-0.0184,0.0328,0.0264,0.0448,5.1463265873773825,2.533741658473436,5.660146475459178,3.9148340100467856,1.1521554785495747
1.0,1.0,1.0,-0.0344,-0.4608,0.0392,0.0112,0.1032,-0.0024,-0.0256,0.0896,0.024,-0.012,-0.0496,-0.0056,1.346308787011909,4.9335912161055155,6.827247953483792,3.019195951029722,3.2066052264908684
1.0,1.0,1.0,-0.04,0.02,0.0536,-0.0056,-0.3536,0.0088,0.0152,0.0432,-0.0008,-0.0224,0.0096,-0.0096,0.8831586564507448,5.442444714178908,5.017740747665653,5.583405582243455,8.014785455571328
1.0,1.0,1.0,-0.0384,-0.432,0.0288,0.0256,-0.008,-0.0208,-0.0136,0.1248,0.0184,0.0048,-0.0488,0.0088,1.0905172774027234,5.602468273517429,5.154553381162053,3.2588573293573253,4.061076416425512
1.0,1.0,1.0,-0.096,-0.1328,0.0352,-0.016,-0.0256,-0.0416,-0.0248,-0.0104,-0.0192,0.0328,-0.012,0.0176,3.6789193759888095,3.553758364255403,7.2765393763511526,3.667444887896138,5.134204882835643
1.0,1.0,1.0,-0.0656,-0.0512,0.0464,-0.0168,-0.0312,0.0352,0.0256,-0.028,0.0008,-0.04,0.02,0.0104,4.312809288769339,3.4384978153978847,3.6786773485379145,5.3846149590479016,6.081169319539983
1.0,1.0,1.0,-0.4408,-0.0256,0.1304,-0.6064,0.028,-0.0648,0.8944,-0.0256,-0.0384,-0.2008,-0.0168,0.0192,3.1393497739165457,-1.8998131358677197,2.5236173336645433,4.834015776026851,5.71467647992862
1.0,1.0,1.0,0.0592,-0.3432,-0.0968,0.0,-0.4584,0.0008,-0.0096,0.1752,0.0056,0.0216,-0.0424,-0.0064,-0.9040740482533427,4.786962480204794,6.061465924116715,-0.8463631059076402,6.17777218069831
1.0,1.0,1.0,-0.1728,-0.0664,0.0168,-0.0264,0.024,0.0136,0.0304,-0.0088,-0.0088,0.0128,-0.0008,-0.0008,5.084517850448792,3.5914453084919624,4.327412128938391,4.7885664327310735,3.290989894752644
1.0,1.0,1.0,-0.0728,-0.06,-0.0128,0.0016,0.0224,-0.008,-0.0152,0.0272,-0.0168,-0.0064,-0.0296,0.0408,3.559869791698362,3.8129357080258894,7.477444397765731,7.330461543305608,5.534909642946039
1.0,1.0,1.0,-0.1088,-0.0168,0.0104,0.0584,-0.012,0.0256,-0.1248,-0.0288,0.0096,-0.0368,0.0216,0.0328,5.164961378456637,1.622950900955744,3.114622287207198,2.6394327765876238,5.866985194086669
1.0,1.0,1.0,0.0016,-0.0176,-0.0016,0.0464,0.0304,-0.0032,0.024,0.0008,-0.0072,-0.0104,-0.024,0.028,3.4651690834216904,3.9598218781466374,6.588187625465316,5.933518650671158,9.396174461406948
1.0,1.0,1.0,-0.0864,-0.08,0.0576,-0.008,-0.0408,-0.0152,-0.0432,0.0096,-0.0112,-0.0152,0.0088,-0.0128,3.3109595440994046,3.144582180278138,5.353317320280182,2.8694684869404115,6.317269131093838
1.0,1.0,1.0,0.1024,-0.1784,-0.0632,-0.0136,0.0,0.02,-0.0056,-0.0104,-0.016,0.0016,0.024,-0.0224,2.0946613079686083,3.1724726928019136,3.993697212935145,-1.0455383510593448,5.158371631601861
1.0,1.0,1.0,0.1248,-0.0472,-0.1048,-0.5656,-0.0112,0.004,-0.1144,0.0136,0.0336,0.0288,-0.0024,-0.0008,3.4884312753801496,0.2849709137976064,9.403765023504851,4.586787923970235,8.717165847945417
1.0,1.0,1.0,-0.096,-0.168,0.0576,-0.0464,0.0576,-0.0064,0.0296,-0.2216,-0.0048,-0.016,0.0712,0.0024,1.3106091954463877,4.024412384246005,8.041879786665337,6.026874431740115,5.059548512190813
1.0,1.0,1.0,-0.1352,-0.492,0.0704,0.0056,0.1752,0.0016,0.0384,-0.0224,-0.0352,0.02,0.0176,0.0088,1.3460243765514053,4.280921032903289,6.0471940856000606,5.503190588659734,1.7339010624550304
1.0,1.0,1.0,-0.0648,-0.0464,-0.0072,0.0472,0.0192,0.02,-0.024,0.024,-0.0128,-0.0632,-0.024,0.0008,3.1298063804227505,1.6393622544663677,2.2058610924936093,1.9159458043027353,4.683778463916044
1.0,1.0,1.0,-0.036,-0.0272,0.0328,0.0096,-0.0168,-0.004,0.0168,0.008,0.0168,0.0232,-0.0352,0.0152,4.855673763279389,4.793741134562474,5.066577850065111,6.694072556978537,7.933420670368335
1.0,1.0,1.0,-0.1256,-0.2032,0.0696,0.016,-0.0152,0.0024,-0.0232,-0.0624,-0.004,0.0504,0.0704,0.0136,1.4602604327871143,2.824218890602898,3.777453471325571,3.457649781525211,5.01017545093898
1.0,1.0,1.0,-0.012,0.0128,0.0072,-0.0032,-0.0464,0.0032,0.0128,0.008,-0.024,0.0008,0.0128,-0.0104,4.313430637967324,6.59489117979975,4.943507824716878,4.509157465004267,7.489810244768716
1.0,1.0,1.0,-0.0928,-0.1136,0.0704,-0.0016,0.1152,0.0144,-0.0112,-0.1616,-0.0064,0.0192,-0.0432,0.0144,1.3049789488115937,4.981028893205344,2.06211444103119,5.2727012468340995,5.328568946420007
1.0,1.0,1.0,0.0704,-0.0448,0.0048,-0.0024,0.0792,0.0128,-0.008,-0.0472,0.0136,0.0008,-0.0128,0.0136,1.7415849393347782,4.435493044093079,2.072339014808877,-0.6412238068366936,4.79126042674516
1.0,1.0,1.0,-0.0048,-0.0112,0.0256,-0.0048,-0.4616,-0.004,0.0016,-0.0032,0.0208,-0.0392,0.1272,0.0144,0.9213774905387626,7.01796491805863,3.4554807885468612,8.621425575637257,8.000304527650702
1.0,1.0,1.0,-0.0136,-0.008,0.0088,0.0184,-0.0104,0.0096,0.028,-0.0104,0.0064,-0.0016,-0.0072,0.0472,4.178007453314554,6.336236933072501,2.4738627003903524,8.030588826332677,4.362613035397265
1.0,1.0,1.0,-0.3976,-0.2408,0.2,-0.0016,-0.0048,0.0032,0.1,0.0752,-0.0072,-0.0544,-0.0408,0.0168,2.6143632348991455,1.5433587462697056,5.559782519394005,5.530924657635081,4.247780499960427
1.0,1.0,1.0,-0.0016,-0.0488,0.0488,0.0048,-0.1096,0.0072,-0.0016,-0.0016,0.0192,0.0176,-0.0168,0.0072,2.8116225260700816,4.338325249249039,4.109470531958969,4.450180341721949,7.750481747018892
1.0,1.0,1.0,-0.1096,-0.1,0.0272,0.016,-0.0368,-0.0192,0.0128,0.0088,-0.0072,-0.0192,0.044,-0.0024,3.5340876818344995,3.7761366306519952,4.100501407242698,4.505681154093348,5.0092229495798195
1.0,1.0,1.0,-0.0784,-0.0432,0.0704,0.0008,0.1384,-0.0048,0.0032,-0.0584,0.0072,-0.0088,0.0048,0.02,2.142386107040422,2.6275026358844835,7.743136338433809,6.30585078094232,6.710592379716369
1.0,1.0,1.0,-0.0768,-0.1008,0.0896,-0.044,-0.088,-0.0152,-0.0272,-0.0152,-0.0488,0.0128,0.036,0.0232,2.4770025573639622,2.8884185322225844,3.2837374442159795,6.620230392746915,6.572522259433259
1.0,1.0,1.0,-0.1288,-0.1264,0.0968,-0.112,-0.0112,0.0192,0.0216,-0.0664,-0.0144,-0.0056,0.0192,0.0104,2.5473213775151455,2.5697662498403964,3.31020613609343,4.890827267773398,6.0053133433142305
1.0,1.0,1.0,-0.3928,-0.5272,0.7552,-0.0848,-0.52,0.1728,-0.4552,0.9816,-0.4432,0.4432,-0.4736,-0.896,-1.4883153046457025,-0.3144272657932823,5.485346715916654,3.5835240286034615,5.3574761747778
1.0,1.0,1.0,-0.3896,-0.1048,0.0656,0.0664,0.0208,-0.0056,-0.0152,0.0056,0.0064,0.0384,-0.0024,0.036,3.864642343845775,1.430894406928325,4.287347854629205,5.269025184506431,2.7026177698872376
1.0,1.0,1.0,-0.0592,-0.0784,0.0944,-0.0504,-0.0584,0.0192,-0.0224,-0.0168,0.0152,-0.0472,-0.0096,0.0072,2.1234599526007267,2.7764914923170263,3.095555965643715,3.1712798147215677,6.71422533565389
1.0,1.0,1.0,-0.1288,-0.1392,0.0712,0.504,-0.0536,-0.0792,-0.8112,0.0048,-0.008,-0.0456,-0.0176,0.0296,2.808124962132441,-0.2523202461705165,6.167493251377989,8.240822446271686,5.790177373166754
1.0,1.0,1.0,-0.0384,0.0296,-0.116,-0.0984,0.2224,-0.02,0.0,0.0656,0.0208,-0.0264,-0.056,0.0376,1.0536763679340448,2.3492646178878505,9.499086837226994,5.037241882418878,7.496293188799848
1.0,1.0,1.0,-0.1048,0.0168,0.0224,0.028,-0.0216,0.0256,-0.0144,0.004,0.0328,-0.0256,0.0192,0.0176,4.956185208548639,3.306440484082175,1.97997019177869,3.0028331952546665,5.022891723527139
1.0,1.0,1.0,-0.1176,-0.2984,0.0128,0.0016,0.0128,-0.0064,-0.0112,0.0288,0.0528,-0.0032,0.0184,0.0296,2.1613423136850445,3.9509330041401416,5.313151059724438,8.345615395769467,3.300045100119741
