0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,-0.095,-0.359,0.3,-0.005,-0.729,0.016,-0.048,0.881,-0.079,-0.008,0.132,-0.078,-0.001,-0.954,-0.005,-0.5171967621813809,2.626712139000065,6.311208079228161,3.618776693028181,7.666131228229043
1.0,1.0,1.0,-0.623,0.076,-0.031,0.187,-0.029,-0.092,0.076,0.047,0.011,-0.201,-0.012,-0.023,0.215,0.01,-0.019,3.570510249381799,0.84210662107709,2.6404699242235856,8.473050868298767,3.822438392081433
1.0,1.0,1.0,0.26,-0.145,0.005,-0.204,0.005,0.039,-0.139,-0.028,0.013,0.008,0.015,-0.001,0.069,0.012,-0.019,4.327308978072061,1.5109782446102829,6.1604554754478515,2.6988975754786484,1.8749092460541688
1.0,1.0,1.0,-0.228,-0.411,0.201,0.003,-0.006,0.005,0.013,0.114,0.029,0.033,-0.099,-0.024,-0.004,0.06,0.018,1.7384453650154388,3.167744932964287,8.12532989115999,6.303235768541742,4.591619738451809
1.0,1.0,1.0,-0.101,-0.287,0.012,-0.011,0.013,0.004,0.002,0.003,-0.017,-0.033,-0.022,-0.029,0.01,0.033,0.019,3.098776539361934,7.41257807763551,6.522910899187781,4.737201114135326,4.655638663714154
1.0,1.0,1.0,0.176,-0.384,-0.046,0.024,-0.408,-0.02,-0.037,0.53,-0.003,0.008,-0.13,0.006,0.009,-0.132,0.039,0.42797520718094884,4.404147718271709,5.80460415536517,1.6373370292189384,1.3734176144809425
1.0,1.0,1.0,0.255,-0.256,-0.077,-0.085,-0.156,0.017,-0.045,0.054,-0.045,-0.026,0.028,0.028,-0.031,0.051,0.002,1.7010012412146458,2.2686265787222366,5.2484594403370375,1.996316142854433,2.422799127118012
1.0,1.0,1.0,-0.464,0.063,-0.041,0.012,-0.042,-0.008,0.073,-0.054,-0.025,0.038,0.004,-0.004,-0.097,-0.025,-0.004,4.134156251713991,0.9177127076829059,2.5031564779017206,6.194014235385065,2.678533895379299
1.0,1.0,1.0,-0.249,-0.232,0.177,-0.073,-0.079,0.02,0.022,0.074,0.038,0.009,-0.059,-0.024,-0.011,0.028,0.015,2.8748664436591027,2.6032079128736734,6.263909519855477,5.179009161592946,6.64947079648565
1.0,1.0,1.0,-0.048,-0.01,-0.022,0.017,0.833,-0.004,0.067,-0.104,-0.007,-0.035,0.4,0.001,-0.016,-0.19,-0.024,-0.937396792475182,5.9979556701178325,1.0093671922085443,4.462274956175078,8.20783517269115
1.0,1.0,1.0,-0.135,-0.257,0.096,0.095,-0.022,-0.081,-0.223,0.082,-0.027,-0.131,-0.035,0.022,0.053,0.044,0.003,2.831236928580138,1.0950526361848842,7.445636745644479,3.1106182968007037,5.670924312694696
1.0,1.0,1.0,-0.138,-0.174,0.048,0.002,0.026,-0.034,-0.032,-0.077,0.047,-0.009,-0.007,0.016,-0.005,0.015,-0.02,2.1488431008763014,4.845639191009438,4.166836336492173,5.300988708470852,4.9250190254994894
1.0,1.0,1.0,0.045,-0.057,0.042,0.014,-0.035,0.031,0.032,-0.019,0.023,-0.009,-0.083,-0.014,-0.038,-0.011,-0.021,2.3802629802764868,2.51037141027193,2.9758250964911217,2.131735263520357,4.990488243893676
1.0,1.0,1.0,-0.09,-0.068,0.084,-0.081,-0.066,-0.005,0.056,-0.032,-0.012,-0.027,-0.016,0.027,0.003,0.014,0.019,2.51943053762426,3.4299027345888153,3.275564856602769,5.315037454360258,8.630131425425205
1.0,1.0,1.0,-0.136,-0.201,0.227,0.049,-0.195,-0.004,-0.147,0.12,-0.051,-0.048,0.01,-0.006,0.069,-0.066,-0.009,2.206512595380086,1.7818776828680414,6.147466896707092,3.4838435993750414,7.63764322331733
1.0,1.0,1.0,-0.326,0.08,-0.022,0.037,0.013,0.032,-0.01,-0.004,0.012,-0.004,0.001,-0.017,-0.013,-0.028,-0.019,5.038812185662717,2.6456790954086133,1.2149670912465251,8.819075883515513,4.749856431381546
1.0,1.0,1.0,-0.541,-0.069,0.128,-0.391,0.137,-0.242,0.94,-0.073,-0.073,-0.616,-0.034,0.034,-0.274,0.031,0.005,2.1933260095403444,-1.890577776990276,2.4694520312170987,6.450732373678058,6.395025344608134
1.0,1.0,1.0,-0.134,0.187,-0.041,0.012,-0.001,0.039,-0.042,0.103,0.031,0.013,0.07,0.067,0.026,0.035,0.003,1.8497195180977624,3.9156433049521526,0.3976218078550122,4.663971379248959,5.198958298673186
1.0,1.0,1.0,-0.178,0.284,-0.094,0.005,0.013,-0.024,-0.001,0.025,0.006,-0.048,0.028,0.0,-0.061,-0.003,0.04,2.204898051354239,4.665921101062363,-0.5663012429996268,6.019492456129089,4.6389938344008765
1.0,1.0,1.0,-0.216,-0.141,0.073,0.019,-0.029,0.004,-0.183,-0.038,0.023,0.104,0.024,0.024,0.019,0.011,0.004,4.3797784078210515,1.498394813835723,5.234377517417944,4.247604908822933,5.265758920005383
1.0,1.0,1.0,-0.233,-0.03,0.041,-0.014,0.0,0.004,0.013,0.018,-0.017,0.008,-0.025,-0.005,-0.075,0.01,-0.007,4.146528426521629,3.229075268124733,3.4489306061313094,5.8326511169461694,4.07922174615577
1.0,1.0,1.0,-0.168,-0.254,0.082,-0.013,-0.008,0.039,0.016,0.035,0.021,-0.007,0.049,0.018,-0.025,-0.001,0.024,2.6599808970152634,4.369458314400827,5.770434696272622,5.166184956828087,5.401596890502889
1.0,1.0,1.0,-0.009,-0.386,-0.027,0.029,-0.052,-0.029,-0.019,0.037,0.0,-0.083,0.096,0.019,-0.04,-0.095,-0.005,1.3158480630983322,2.931190480322573,5.8254187928516785,2.63024741827097,5.2346484510933164
1.0,1.0,1.0,-0.124,-0.048,0.006,0.011,0.006,0.003,-0.038,0.016,0.02,-0.006,-0.026,-0.01,0.005,-0.024,0.027,5.449097882087438,4.626464333113557,4.863645074576287,5.083018414145881,5.586426041451015
1.0,1.0,1.0,-0.104,0.224,-0.026,-0.075,-0.371,0.182,0.005,0.082,-0.013,0.006,-0.337,0.013,0.021,-0.906,-0.035,-0.8565021892762941,2.7308412721486306,2.402743228975577,3.9000484144950294,3.636350854348595
1.0,1.0,1.0,-0.091,0.206,-0.039,-0.067,-0.617,0.06,0.048,-0.215,-0.009,-0.036,0.068,-0.03,0.03,-0.169,-0.023,0.19394403444265063,3.3329814415375445,3.155455957094233,4.843106290125328,2.3751290279267043
1.0,1.0,1.0,0.011,0.057,0.054,-0.022,0.052,-0.022,-0.005,0.166,0.057,-0.033,-0.131,0.024,-0.028,-0.085,-0.027,1.1421487439558557,4.532095215966392,7.005156935872103,7.558429628169762,11.31930507581212
1.0,1.0,1.0,-0.331,0.314,-0.223,-0.03,0.035,-0.077,-0.001,0.732,0.005,-0.028,0.237,0.007,0.034,-0.456,-0.01,-0.8738989260533612,2.234069918747293,0.9462155927682714,6.319738526465211,5.1616842972227674
1.0,1.0,1.0,-0.379,0.245,-0.094,0.095,-0.083,-0.028,-0.018,-0.083,-0.005,0.027,-0.043,0.01,-0.026,0.01,-0.022,2.4114008855175846,3.0174163735974804,2.5022437861890254,8.025906383967373,1.2441864694577425
1.0,1.0,1.0,-0.296,0.055,-0.029,0.014,-0.034,-0.056,0.021,0.027,0.046,-0.042,0.017,0.029,-0.002,-0.062,0.004,3.978106498342867,2.8484171732265446,1.755770240097688,7.8748174575698044,4.658942005604081
1.0,1.0,1.0,-0.251,0.067,0.006,-0.032,-0.047,-0.027,-0.29,-0.012,-0.026,-0.042,0.016,-0.02,0.259,0.012,-0.031,5.068767611512172,0.6519823004404279,2.0193037620850935,3.8579871775485364,4.735462115310266
1.0,1.0,1.0,-0.049,0.582,-0.021,-0.033,-0.262,0.029,-0.001,-0.723,0.018,-0.048,-0.491,0.043,-0.026,0.01,-0.014,-1.0111648531055915,4.700669231798431,2.2235279089512328,4.751633520929945,1.4871866580724005
1.0,1.0,1.0,0.041,-0.153,0.01,0.005,0.0,-0.023,-0.02,-0.011,0.021,0.05,-0.007,0.019,-0.029,-0.028,0.031,5.320990252219526,7.519847366443387,6.105986892057456,3.0682575531421037,3.378700944907758
1.0,1.0,1.0,0.031,-0.139,-0.024,-0.019,-0.044,0.079,0.01,-0.105,0.005,-0.154,0.061,0.003,-0.012,-0.026,0.02,2.2649346549967904,1.6100605276066688,4.1253594815863694,2.3820174670981564,5.033507890692354
1.0,1.0,1.0,-0.041,-0.193,0.262,-0.074,-0.722,0.06,0.036,0.342,0.032,-0.009,0.417,-0.014,0.031,-0.384,-0.039,0.43920932097250054,3.834061172982644,5.428705282669947,4.578204878037149,8.83259584306232
1.0,1.0,1.0,-0.087,-0.385,0.054,-0.03,-0.014,-0.024,0.012,0.009,0.011,0.002,0.082,-0.018,0.006,-0.023,-0.019,1.7059350225857668,5.905183882329403,6.048782430529293,6.257503962357041,4.904822687304237
1.0,1.0,1.0,0.009,-0.049,0.03,0.001,-0.006,0.015,0.006,-0.01,-0.034,-0.019,0.004,0.009,-0.035,0.025,0.0,2.8296772786287976,7.503096780552106,2.922030544652356,4.77943101767723,8.94869462283976
1.0,1.0,1.0,0.607,-0.619,-0.582,0.132,0.147,0.215,-0.06,0.11,-0.07,-0.012,-0.109,-0.001,0.168,0.066,-0.004,0.8011011819838574,0.6212915818319589,7.103361444604822,-0.769860462368424,4.101423632811163
1.0,1.0,1.0,-0.251,0.019,0.02,-0.043,0.095,-0.014,0.037,-0.018,-0.011,0.003,-0.06,0.023,0.019,0.007,0.026,2.234776247984539,2.5630713111369756,1.8197145286983871,5.459693466716991,6.231792978421692
1.0,1.0,1.0,-0.157,-0.19,0.051,0.026,0.036,0.04,-0.087,-0.043,-0.01,0.008,0.07,-0.04,-0.028,0.008,0.022,2.668051333330304,2.253758136640876,4.19305549592403,3.526326660134979,5.356862966121473
1.0,1.0,1.0,-0.411,-0.022,0.027,0.068,0.01,-0.032,0.015,-0.029,0.034,-0.013,0.005,-0.01,0.015,0.026,0.031,4.546535503659625,2.321621745255879,4.191092756913736,7.098218603593143,3.8728446648331394
1.0,1.0,1.0,-0.236,-0.042,0.1,-0.081,0.042,0.007,-0.317,-0.034,0.027,-0.102,0.01,-0.014,0.431,-0.005,0.008,3.425291557726813,0.42876591450758816,9.543684381141885,3.7655784060249267,7.799043014397373
1.0,1.0,1.0,0.129,-0.293,-0.08,0.005,-0.026,0.003,-0.007,0.023,0.002,0.025,0.017,0.02,0.035,-0.039,-0.016,2.4645082851174163,4.448505744756114,8.070771190051438,-0.06224711645785508,5.798278058742778
1.0,1.0,1.0,0.137,-0.22,-0.021,-0.14,0.059,-0.005,-0.009,0.006,0.031,-0.022,0.003,0.017,-0.014,-0.019,-0.001,4.2850558749510705,2.797597989905218,8.386426598219014,2.7798903484441158,2.3100275714008625
1.0,1.0,1.0,-0.138,-0.213,0.107,-0.047,0.012,-0.015,0.001,-0.145,-0.032,-0.031,0.049,0.024,0.012,0.061,-0.037,1.601369791344758,3.55983589069467,3.8808100343222627,5.038204569055383,7.240402448787372
1.0,1.0,1.0,-0.019,0.116,0.001,0.001,-0.156,0.003,0.013,0.002,-0.037,-0.006,-0.058,0.022,-0.007,0.048,-0.025,2.4351097184401302,6.678590511126606,2.8542383744101496,3.6768521621309658,2.602539892502526
1.0,1.0,1.0,-0.093,-0.176,-0.005,0.024,-0.036,0.018,-0.03,-0.006,-0.002,-0.014,-0.012,0.004,-0.027,0.012,-0.031,3.698088808733132,6.369216077575032,4.593985588856287,5.866095997604943,4.134834114287274
1.0,1.0,1.0,-0.229,0.155,-0.092,0.001,0.003,0.022,-0.032,0.018,-0.006,0.025,0.011,-0.042,0.001,-0.015,0.02,2.9700676729099325,2.9793898441776885,0.26112427581122155,5.299762979886455,5.072595741781993
1.0,1.0,1.0,-0.271,-0.288,0.105,0.068,0.095,0.051,0.022,-0.006,-0.014,-0.023,-0.032,-0.037,-0.004,-0.011,-0.057,3.4657750294213447,3.6142002004262452,8.373246166271993,7.0459882705412635,3.3489668519904074
1.0,1.0,1.0,-0.107,0.085,-0.016,-0.014,-0.034,0.016,-0.017,0.024,0.031,-0.006,-0.006,-0.054,0.022,-0.007,-0.003,5.093538668497958,3.8740187559518278,1.7220754559236848,5.453028959326481,3.554774797199225
1.0,1.0,1.0,-0.031,0.014,-0.021,-0.044,-0.026,0.016,-0.006,0.008,0.054,-0.006,0.033,0.009,-0.005,-0.007,0.0,5.242291587594837,4.034715690321753,3.864291061781387,4.5136829752426255,1.6976011800475157
1.0,1.0,1.0,-0.134,-0.17,0.098,-0.022,0.02,-0.014,-0.045,0.0,-0.051,0.028,0.009,-0.043,0.028,0.009,0.027,4.455532334383315,3.5006453257225023,7.957949775732585,10.994736876430462,4.0747220648732725
1.0,1.0,1.0,-0.192,-0.085,0.039,-0.012,0.014,-0.006,0.042,0.016,-0.006,-0.019,0.012,-0.025,-0.007,0.024,0.023,6.928491691709324,3.379974745440634,5.905218177216739,5.869657686586033,6.362592337441863
