0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.348,0.308,0.128,-0.798,-0.156,0.118,-0.706,-0.164,0.106,0.36,0.006,0.002,0.996,0.062,0.062,0.196,0.056,0.024,-0.864,-0.006,0.006,-0.712,0.004,-0.032,0.402,-0.004,0.002,3.351851380117007,-3.104679401622647,5.735919518401349,7.300461198089762,0.0
1.0,1.0,1.0,0.66,0.404,0.268,-0.05,-0.666,0.0,-0.562,-0.95,0.536,-0.69,-0.156,0.122,-0.362,0.86,-0.318,0.096,0.83,0.078,0.418,-0.212,-0.086,0.49,-0.974,-0.484,0.244,-0.612,-0.112,-0.05291975334241661,0.5356539998412084,6.581337073990678,4.653244216488585,0.0
1.0,1.0,1.0,0.108,0.948,0.092,-0.55,0.774,-0.408,-0.222,0.442,-0.104,0.236,0.182,0.078,0.15,-0.264,0.01,-0.022,-0.544,0.006,-0.142,-0.836,0.102,0.026,-0.964,-0.01,0.088,-0.992,-0.084,-0.3935068646871942,1.7151995532824176,2.0668712234430044,7.960624296220806,0.0
1.0,1.0,1.0,0.312,0.284,0.04,-0.238,-0.81,0.208,-0.334,-0.774,0.248,-0.13,0.356,-0.086,0.11,0.996,0.114,0.114,0.24,0.018,0.044,-0.858,-0.058,-0.052,-0.776,0.036,-0.072,0.41,0.018,-1.2389306630980674,2.0765140240287177,7.268023082493105,6.093629797584572,0.0
1.0,1.0,1.0,0.438,0.326,0.112,0.008,-0.12,-0.004,-0.204,-0.23,0.042,-0.144,-0.12,0.024,-0.102,0.0,0.03,-0.02,0.062,-0.022,0.046,0.052,0.034,0.014,-0.06,0.026,0.044,-0.024,-0.04,3.3242553897776608,2.5719340020959636,5.844467410160927,4.5268344299750085,0.0
1.0,1.0,1.0,0.172,0.472,0.068,-0.528,0.05,0.002,-0.288,-0.08,0.044,0.232,-0.122,-0.034,0.222,-0.042,-0.004,-0.014,-0.092,0.026,-0.144,-0.048,-0.02,-0.03,0.006,-0.048,0.09,-0.028,-0.042,3.115413863882262,1.578325783602264,3.9464462929637865,7.7564882077559965,0.0
1.0,1.0,1.0,0.26,0.33,0.082,-0.3,-0.104,0.004,-0.172,-0.134,0.058,0.01,0.014,-0.016,0.124,0.07,0.03,0.044,0.026,-0.01,-0.044,0.06,0.044,-0.044,0.008,0.02,-0.022,0.008,0.006,4.0114742440197855,3.2060048982029024,5.4937680623236265,6.53376375419373,0.0
1.0,1.0,1.0,0.526,0.376,0.218,-0.504,0.132,-0.092,-1.0,0.016,-0.016,-0.542,0.06,-0.062,0.474,0.01,0.012,0.998,-0.004,-0.002,0.552,0.04,-0.04,-0.46,-0.026,0.018,-0.994,-0.04,0.038,5.685189898170325,-2.005955050650316,0.43759176846060654,5.9379834515248655,0.0
1.0,1.0,1.0,0.272,0.286,0.078,-0.154,0.062,-0.012,-0.224,-0.01,0.03,-0.054,0.01,-0.008,0.016,-0.044,0.008,0.032,-0.058,-0.026,0.032,0.04,-0.028,0.016,0.022,0.022,0.016,0.002,-0.03,5.65191713401174,3.1322460529701894,3.547353179192412,6.081299830247916,0.0
1.0,1.0,1.0,0.878,0.294,0.244,0.562,0.02,-0.006,0.138,-0.034,-0.036,-0.302,-0.018,-0.02,-0.688,-0.038,0.074,-0.846,0.01,0.012,-0.904,-0.006,-0.018,-0.676,-0.024,0.028,-0.368,0.056,-0.016,4.527168795580803,0.10454328628403342,4.476964431648506,2.7163849070773924,0.0
