0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,10_0,10_1,10_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.2668,0.1344,0.042,-0.2782,-0.0348,0.0018,-0.2116,-0.0058,-0.0122,-0.0248,0.0212,-0.0088,0.0358,-0.0034,0.0136,0.0032,0.018,0.0048,0.0044,-0.0216,-0.0032,-0.0018,0.0178,-0.004,0.004,-0.0094,0.0154,0.0062,-0.0122,0.014,8.132048936796284,2.5738989793236997,5.558714173978029,5.870579405176036,2.966284875750259
1.0,1.0,1.0,-0.0306,0.363,-0.0152,-0.1922,-0.0104,-0.0042,0.0126,-0.0596,0.007,0.014,0.0016,-0.0132,-0.0136,0.0,-0.0272,-0.0134,-0.0004,-0.0046,-0.017,0.0084,0.0006,-0.007,-0.0082,0.002,0.001,0.0088,0.0018,0.0044,0.0068,0.002,3.887082056297063,4.5676003367193765,2.7357231282996946,7.997641013095395,4.661068722666674
1.0,1.0,1.0,0.0318,0.3842,0.0192,-0.2388,0.0222,-0.0266,0.0096,-0.0174,0.0042,-0.1068,0.0554,-0.0354,-0.0294,0.041,-0.0096,0.1024,0.009,0.0078,0.0244,0.0,-0.0036,-0.0218,0.0144,-0.0162,0.004,-0.0106,0.0126,-0.002,0.0164,-0.01,3.7370688519690463,2.4152616587614375,1.2373358632367588,6.341526603653958,6.620952914576563
1.0,1.0,1.0,0.344,0.2116,0.0728,0.0278,-0.1752,0.0122,-0.051,-0.0916,0.0086,-0.0298,-0.0052,-0.009,-0.0258,-0.0006,0.0128,0.0228,0.0098,-0.0138,-0.0114,0.0016,0.0078,-0.01,0.0032,-0.0068,-0.01,0.006,-0.0084,0.0088,-0.0052,0.0008,4.077286327898688,4.5690455770316944,5.917158565296233,3.0643774030711786,3.0905570694022373
1.0,1.0,1.0,0.1476,0.0334,0.0134,-0.3378,-0.147,0.0836,-0.1304,-0.0136,-0.0008,0.0452,-0.0108,0.0032,-0.0342,-0.0066,0.0076,0.015,0.0164,0.0018,0.0796,-0.02,0.0076,0.0132,-0.0138,-0.0022,-0.0282,-0.0032,-0.0014,-0.0052,-0.0014,-0.0034,5.576507923884312,2.1515122191458484,7.234815112538321,6.22294088058851,4.5436134098807015
1.0,1.0,1.0,-0.1296,0.6556,-0.0968,-0.4752,0.0246,-0.0166,0.1474,-0.325,-0.1536,0.0746,-0.2006,-0.294,0.02,0.0784,0.174,0.0674,0.0474,0.0364,-0.1338,-0.344,0.0858,-0.0348,-0.7232,0.0216,0.1296,-0.6758,-0.0878,-0.0096,-0.1554,-0.0054,0.16648078938013855,1.391297934823231,2.716707098087015,8.934400164533015,4.287684414469928
1.0,1.0,1.0,0.1898,0.1628,0.0286,-0.1538,-0.1986,0.0444,-0.0828,-0.0934,0.015,-0.0046,0.0032,-0.0122,0.005,0.0122,0.002,-0.002,-0.0068,0.0044,0.0022,0.0074,-0.0104,0.0128,0.0044,-0.0052,0.0002,0.0074,0.0112,-0.015,0.019,-0.0072,3.5253130575067475,3.941517224107519,5.810845786187288,5.379082223700126,4.4941330538626545
1.0,1.0,1.0,0.1582,0.4112,0.071,-0.3094,-0.5706,0.2176,-0.1472,-0.7416,0.1872,0.0454,-0.0824,-0.0118,0.0314,0.315,0.108,0.0022,0.1352,0.0102,-0.0192,-0.0014,0.0078,0.0038,0.2628,0.007,-0.0108,0.3416,-0.0184,-0.0068,-0.3032,0.0016,-0.43301581902223196,2.8873646295612208,5.774465087344847,6.7137322287960615,2.9866881236152554
1.0,1.0,1.0,0.0882,0.1642,0.014,-0.2844,-0.208,0.238,0.005,-0.001,0.0328,-0.1802,-0.0428,0.011,-0.1906,-0.1294,0.0304,0.1504,-0.0106,-0.0006,0.1336,0.0462,0.0062,-0.036,0.0146,-0.0034,0.0204,0.0014,0.003,0.0112,0.0208,-0.0004,2.469144787009635,1.4480019517145855,4.794665018871264,5.635190009121983,6.858386506168493
1.0,1.0,1.0,0.2174,0.0612,-0.0046,-0.1436,-0.0972,0.0508,-0.027,-0.0012,0.0074,0.0014,-0.01,-0.0086,-0.084,0.0006,-0.005,-0.0546,-0.0152,-0.009,0.0208,-0.0032,0.0016,0.032,0.003,0.0014,0.0022,0.0158,-0.008,0.0344,0.0006,-0.0038,5.559879441346874,2.7466401448412614,5.7299600370105095,4.319171921466406,6.197039994267649
1.0,1.0,1.0,0.4584,0.256,0.13,-0.2192,-0.0808,0.0132,-0.4954,-0.1048,0.069,-0.2902,-0.0262,0.0072,0.055,-0.0024,0.0038,0.238,-0.0052,0.0148,0.173,-0.0042,-0.0108,0.0312,-0.0054,-0.0018,-0.1004,0.001,0.0054,-0.091,-0.002,0.007,4.868924323661032,1.4030447423036356,6.398608651436139,6.266555149215265,-0.16086663301040982
1.0,1.0,1.0,0.4468,0.0552,0.0308,-0.068,-0.1472,0.0016,-0.252,-0.0212,0.0116,-0.168,0.0194,-0.003,-0.0434,0.0102,-0.0032,0.0292,-0.003,0.0142,0.0406,-0.0018,0.0076,0.0,0.0118,0.0214,-0.0158,-0.0074,-0.014,0.0026,-0.0064,-0.0098,6.063388394436894,2.4063237091773377,8.047696474704551,4.546085779484377,1.8297420336749952
1.0,1.0,1.0,0.2306,0.3238,0.0852,-0.1716,-0.5068,0.1608,-0.0914,-0.4058,0.1684,-0.0066,0.0044,0.0054,-0.0138,-0.135,0.044,-0.0076,-0.2418,0.0138,-0.0032,0.2718,0.0158,0.0088,0.6762,0.0102,0.0092,0.1904,0.0112,-0.016,-0.4938,0.0182,0.24999454364389306,3.2929276837885237,5.35129655771782,4.888305411131787,4.4437692467978565
1.0,1.0,1.0,0.2132,0.5164,0.1172,-0.1054,0.0496,-0.0282,-0.0468,-0.0422,0.005,-0.0006,0.0104,-0.0034,0.005,0.1086,-0.0052,-0.0256,0.083,-0.009,0.004,-0.0234,-0.0026,0.0058,-0.0668,-0.005,-0.0056,-0.0356,0.0088,0.0002,-0.005,0.0032,1.8960998450377382,4.34471671160713,1.799885362879479,4.251626952994648,5.32003346148627
1.0,1.0,1.0,-0.0544,0.0852,0.0036,-0.1194,-0.1824,0.0226,0.0108,-0.0306,0.005,-0.0056,-0.021,-0.0106,-0.0072,-0.0004,-0.0096,-0.0082,-0.0058,-0.006,0.0152,-0.0044,-0.0024,-0.007,0.001,-0.0116,-0.0016,0.0028,-0.0036,-0.002,-0.012,-0.0028,4.238396321571554,5.533824838412504,6.474388737703763,8.879877976367549,4.59396677057763
1.0,1.0,1.0,0.2366,0.2102,0.0428,-0.4498,-0.1342,0.0864,-0.2938,-0.0816,0.035,0.0696,-0.005,0.0098,0.0788,0.0226,0.0066,-0.0128,-0.0046,-0.0054,0.038,-0.0236,0.0164,0.0746,-0.0088,-0.0074,-0.0318,-0.011,0.0048,-0.0878,-0.007,0.0104,4.449521743755209,1.4664908701896215,5.543864713344316,6.388511045028334,3.2605694072898705
1.0,1.0,1.0,0.1656,0.7796,0.146,-0.242,0.2744,-0.1256,-0.0848,-0.0992,0.0328,0.0026,-0.0264,-0.0274,-0.0294,0.3178,-0.094,0.002,0.6082,0.0002,0.0334,0.4994,0.022,0.0228,0.0242,0.001,-0.0162,-0.519,0.0168,-0.0044,-0.7174,0.0106,-1.7180133536498543,2.911067017885038,1.315790795498315,5.651877732228626,4.851000992363088
1.0,1.0,1.0,0.3114,0.42,0.1666,-0.2084,-0.058,0.02,-0.1918,-0.146,0.0794,-0.0292,-0.0722,0.0238,-0.002,-0.0206,0.0042,-0.0352,-0.0128,0.0148,-0.0158,-0.0238,0.0024,0.0172,-0.0092,-0.004,0.0482,-0.0162,-0.0028,0.0022,0.0164,-0.0086,2.5528495458749783,2.458463252853353,3.5304647081800544,4.766191878718482,3.919379862886106
1.0,1.0,1.0,0.2032,0.0924,0.0228,-0.0548,-0.157,0.0218,-0.006,-0.0166,0.0038,-0.0248,0.0024,0.0052,-0.0066,-0.0258,-0.014,0.0112,-0.011,0.0214,-0.02,0.0072,0.0052,0.0022,0.0012,0.0118,0.029,0.0104,-0.0034,0.006,0.0142,-0.0014,4.198539098534043,6.0555568763787315,5.668414205223127,4.040184433576506,5.14481562841216
1.0,1.0,1.0,-0.0562,0.4362,-0.0236,-0.4692,-0.4422,0.3142,0.0582,-0.5546,-0.0808,0.0856,-0.1142,-0.1346,0.0006,-0.0504,-0.0522,0.0558,-0.384,-0.1722,-0.0312,-0.2278,0.0146,-0.0826,0.5776,-0.0722,0.0352,0.9506,0.0314,0.0472,0.24,0.0132,-0.12675501625966712,1.7139130185269937,4.751582458333784,8.357054127288645,4.186016393405615
1.0,1.0,1.0,0.2338,0.0036,0.0106,-0.0782,-0.1346,0.0868,0.048,-0.0108,0.0044,0.033,-0.0632,-0.0098,-0.0764,0.0048,0.0044,-0.0876,0.0298,-0.0058,-0.0008,0.0062,0.0054,-0.0066,0.0128,-0.0082,-0.0304,-0.0072,0.0024,0.0026,-0.0068,-0.0002,3.8049914789659782,2.7404333411432695,6.284688901824221,3.2537876549617275,7.5086411687371175
1.0,1.0,1.0,0.3696,-0.201,-0.1146,-0.0562,-0.428,0.0806,-0.0132,0.02,-0.1772,0.1016,-0.2322,-0.0998,0.0142,0.6518,0.0168,-0.0516,0.094,-0.0028,-0.067,-0.7014,0.0568,-0.0056,0.164,-0.002,-0.0138,0.078,0.0066,-0.0202,0.1962,-0.0168,0.2250883534027044,2.4845185866022828,8.296357025635086,2.4540160733683627,6.49904497300094
1.0,1.0,1.0,0.4292,0.462,0.2312,0.0614,-0.0334,-0.0092,-0.022,-0.1702,0.0094,-0.0096,-0.0596,0.0048,-0.0014,0.026,0.0058,0.0208,-0.0072,0.0116,-0.0022,-0.0706,0.0024,0.0002,-0.068,0.0074,-0.0124,-0.0282,-0.0042,-0.0014,0.0012,-0.0026,2.062924063273244,3.640982242047789,2.9873939769211053,1.9672762436550482,4.332933091158353
