0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9,0_10,0_11,0_12,0_13,0_14,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,1_12,1_13,1_14,decay_0,decay_1,decay_2,decay_3,W_0,W_1,W_2,W_3,J_0,J_1,J_2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.008,-0.064,0.064,-0.024,-0.016,-0.056,-0.016,0.116,-0.052,-0.02,0.084,-0.052,-0.02,-0.02,-0.02,5.043245305385846,4.550364603439818,3.623210613284115,3.5509889731893276,3.1221309562892845,5.303746473708888,4.857811052952891,4.501880606446232,3.17885324821106,5.034162630482786,5.975422717457738
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.024,0.004,-0.076,-0.02,0.004,0.016,-0.072,-0.04,-0.016,0.092,0.004,-0.108,0.052,0.048,-0.032,4.395101240444377,3.763270562359967,6.493878167539962,4.2931444218828885,4.314303948277798,2.471582014603292,3.974775345496307,3.2406036405876804,3.2494121705330987,4.128529407076691,3.8351835780078734
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.016,-0.044,-0.028,-0.008,0.048,-0.004,-0.02,-0.064,-0.064,-0.012,-0.02,0.024,0.04,0.036,0.028,5.682410421374898,6.255837391394571,6.225476483044911,5.014964926494093,4.203000845655358,4.833480765360825,4.250303775250189,6.071585022658795,4.9700200577565194,2.7583914811182284,5.7616556003258115
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.032,0.048,-0.016,0.036,0.092,-0.004,-0.036,0.028,-0.028,-0.004,-0.004,0.032,0.008,0.016,-0.016,4.8975823948057045,6.396260224567068,5.801814275702108,4.925520850610609,3.4163472220148705,4.153348266735037,6.168591659515989,5.931671447481227,5.5608111060214265,4.651585442799047,5.381210270000023
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.084,0.02,0.064,-0.016,0.06,0.012,0.032,-0.04,0.044,0.036,0.016,0.008,-0.012,0.036,0.04,5.645793444034912,4.774708522743049,5.4016458028848975,5.601369281895628,5.319077887208719,6.974079571422873,4.647994685686419,5.324204007672881,5.239134010953421,4.972030484386554,5.20485511580901
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004,0.028,0.016,-0.024,0.012,-0.036,0.008,-0.016,0.004,0.044,-0.056,-0.008,-0.028,0.004,-0.024,4.346774896587164,4.67298885814763,3.1520374273119933,5.465921056802182,5.4278601636987025,2.88318623433163,5.142608592263171,4.240082339759177,6.401240353756603,5.264609787642726,5.803397448834335
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.044,0.024,0.108,-0.028,0.072,0.1,-0.08,-0.004,-0.056,-0.132,0.016,-0.032,-0.028,-0.032,-0.02,5.36174865304535,4.972909042654498,4.624696701150928,6.20486347248644,4.9979822220894725,4.1003018455146165,4.755520675211474,5.848755600812081,4.229658374927503,5.295919047211331,4.727230933810237
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02,-0.02,0.024,0.044,0.016,-0.024,0.028,-0.072,-0.1,0.076,0.016,-0.044,-0.032,-0.016,-0.02,4.339263845933777,3.3640599851971222,4.584548304448171,5.456984062487326,5.946329603560412,3.953024560810489,4.16495567633651,3.458021137937483,5.185840128440777,3.9538117335928042,4.364096114899097
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.016,0.02,-0.02,0.008,0.0,0.044,-0.012,-0.024,-0.032,0.084,0.012,0.008,-0.016,-0.084,0.02,5.841100257918882,4.859858219892296,6.8284329307604725,5.631726459688385,5.439061973453148,6.1773098071682675,5.497082335100039,6.268039112594921,4.76131509222585,4.41882609964541,7.9675713524968454
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.016,-0.012,0.028,-0.008,0.064,0.012,-0.028,0.036,0.028,-0.072,-0.08,-0.012,-0.084,-0.048,0.024,5.138732932377863,4.524168970136058,4.333757031499124,6.093145684523447,4.57172209939149,5.075967797783709,6.369317877893752,5.506360983836474,4.908327039783414,6.0059978797385245,4.647181533676887
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.004,0.016,0.036,0.064,0.036,0.0,-0.06,-0.048,0.028,-0.016,0.012,-0.032,-0.02,-0.024,0.004,5.72445132933355,6.3720458416364405,5.3901766719484865,3.7584493585635035,5.770477342219115,5.874681857211273,3.791175222341118,4.368984033202569,3.1216382861884187,2.33842031346772,5.771211318368807
