0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,10_0,10_1,10_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.266,-0.092,-0.042,-0.204,-0.412,0.556,0.034,-0.08,-0.098,-0.054,-0.626,0.04,-0.364,0.282,-0.118,-0.188,0.936,-0.18,0.086,-0.326,-0.1,0.074,-0.164,-0.242,-0.022,-0.146,0.056,0.096,-0.682,-0.098,-3.0316564322267894,1.0951643248372402,6.741294110769436,4.047552634143845,7.196349587636749
1.0,1.0,1.0,0.382,0.234,0.084,-0.39,-0.506,0.556,-0.142,-0.034,0.596,0.07,-0.208,-0.106,-0.568,-0.616,0.752,-0.756,0.176,-0.168,0.116,0.98,0.12,0.776,0.214,0.238,0.336,-0.398,-0.586,-0.048,0.002,0.234,-2.2645032231538207,-0.8637363307522112,5.539558594718213,4.267658899778036,5.9695951542512535
1.0,1.0,1.0,0.346,0.536,0.19,-0.472,-0.4,0.196,-0.604,-0.804,0.588,0.016,-0.366,0.006,0.334,0.254,0.12,0.226,0.574,0.164,-0.072,0.264,-0.032,-0.148,-0.134,0.042,-0.048,-0.262,0.038,0.066,-0.096,-0.01,0.3407929860306075,0.9408921889450981,5.797713703079516,6.69455537751864,1.6203798087497168
1.0,1.0,1.0,0.564,0.43,0.226,-0.364,-0.494,0.19,-0.804,-0.83,0.962,-0.552,-0.238,0.274,0.046,0.384,0.086,0.276,0.356,0.808,0.254,0.082,0.18,-0.02,-0.074,-0.162,0.074,0.164,0.65,0.308,0.028,0.14,-0.42865425342129293,-0.2760581214337521,5.699117394911619,4.8550683270827815,2.4088292992840437
1.0,1.0,1.0,0.414,0.478,0.2,-0.406,-0.058,0.04,-0.498,-0.252,0.282,-0.132,-0.156,0.024,0.152,-0.006,-0.034,0.09,0.044,0.042,0.028,0.06,0.012,0.004,-0.026,-0.042,0.028,0.016,0.036,0.062,-0.038,0.076,2.030036780485437,0.9168870207849149,4.16129516702186,5.474920007036917,2.6020401915753997
1.0,1.0,1.0,0.27,0.312,0.102,0.074,-0.344,-0.01,0.032,-0.188,-0.016,0.054,0.012,0.038,-0.002,-0.11,0.032,0.006,-0.196,-0.002,0.062,0.124,0.002,-0.02,0.236,-0.004,-0.024,0.074,-0.034,0.014,-0.104,0.002,1.1226290804083645,5.918251616895488,4.964381371043679,0.4606795668860686,4.985644657626621
1.0,1.0,1.0,0.17,0.158,0.032,-0.034,-0.25,0.156,0.09,0.202,0.092,-0.004,-0.504,0.02,-0.05,-0.656,0.026,0.01,0.222,0.0,-0.02,0.126,0.014,0.014,0.022,-0.036,-0.034,0.558,-0.064,0.014,0.164,-0.006,0.3154575385489934,3.2137332513091077,4.628676307609595,3.2986744539829465,8.33577276728942
1.0,1.0,1.0,0.494,0.282,0.156,-0.028,-0.6,-0.008,-0.17,-0.48,0.238,-0.086,0.05,-0.012,0.022,-0.04,-0.054,0.024,-0.092,0.012,-0.072,0.346,-0.07,-0.054,0.602,-0.056,-0.038,0.01,0.056,-0.02,-0.688,-0.004,0.17376266942248053,2.154472025732655,5.775854597345633,3.1767742078548133,3.967941815590274
1.0,1.0,1.0,0.556,0.39,0.254,0.04,-0.332,-0.036,-0.17,-0.412,0.262,-0.086,-0.038,0.144,-0.002,-0.008,-0.094,-0.032,-0.296,-0.04,-0.062,-0.16,0.078,-0.148,0.248,-0.084,-0.154,0.428,-0.066,-0.046,0.168,-0.054,0.586729715448576,1.4271354712702498,4.595927532885758,2.679279868949526,4.300085505307852
1.0,1.0,1.0,0.168,0.166,0.014,-0.054,-0.056,0.11,0.12,0.052,0.056,0.038,-0.122,0.032,-0.072,-0.166,-0.01,-0.008,0.036,-0.008,-0.022,0.01,0.056,-0.018,-0.032,-0.038,0.036,-0.002,0.05,0.022,0.05,-0.02,2.63859904260905,3.1030961194135926,3.7704343016678394,2.9828477509581233,8.744122058504788
1.0,1.0,1.0,0.21,0.024,-0.034,-0.12,-0.304,0.348,0.152,0.048,0.02,0.028,-0.83,-0.002,-0.146,-0.046,-0.02,-0.058,0.754,-0.072,-0.01,-0.01,-0.016,-0.038,0.346,-0.076,-0.022,0.058,0.068,0.01,-0.998,-0.008,-0.9162520228454696,2.0377918642832618,5.89949346942926,3.465254032725732,8.130424470706705
1.0,1.0,1.0,0.684,0.208,0.184,0.048,-0.566,-0.098,-0.084,-0.136,0.408,0.212,-0.114,-0.586,0.472,-0.498,-0.722,0.138,0.102,0.02,-0.532,1.0,-0.532,-0.884,0.32,-0.332,-0.582,-0.564,0.758,-0.072,-0.22,0.212,-2.3730322517598537,-1.0338729514988296,5.680167348794561,1.9534168228501856,5.66593799053999
