0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.68,0.56,0.44,0.28,-0.12,-0.04,-0.38,-0.48,0.42,-0.12,-0.1,0.9,0.06,0.12,0.46,0.18,-0.02,-0.08,-0.08,-0.66,0.22,-0.66,-0.88,0.7,-1.0,-0.36,0.36,0.2660430209546878,0.44809152657508766,2.0834745780026696,2.8663214048946717,3.8785493779056406
1.0,1.0,1.0,0.68,0.58,0.46,-0.38,-0.2,0.14,-0.76,-0.76,0.88,-0.46,-0.46,0.6,-0.1,0.0,0.26,-0.06,-0.1,0.84,-0.3,-0.24,0.9,-0.24,-0.08,0.12,0.44,0.5,0.42,2.5529658430016244,0.936466704492763,3.8641056896494406,3.895949161816924,3.1156840563738717
1.0,1.0,1.0,0.84,0.58,0.58,0.38,0.1,0.0,-0.06,-0.56,0.06,-0.38,-0.56,0.66,-0.28,-0.28,0.8,-0.14,-0.14,0.2,-0.1,-0.02,-0.32,0.06,-0.26,-0.24,-0.16,-0.56,0.2,0.5739846611411035,1.808527767436323,1.7841405716388077,2.913220748508388,2.8490319165957168
1.0,1.0,1.0,0.58,0.72,0.5,0.0,-0.18,0.02,-0.22,-0.3,0.52,-0.14,-0.12,0.98,0.28,0.14,0.62,0.22,-0.08,0.06,-0.3,-0.64,0.34,-0.82,-0.94,0.8,-0.96,-0.72,0.68,-0.6335502523910312,1.4202640375248288,2.129483185996471,2.480634796869471,4.108689720285035
1.0,1.0,1.0,0.62,0.58,0.44,-0.12,-0.3,-0.06,-0.54,-0.5,0.92,-0.32,-0.22,0.74,-0.16,0.2,-0.12,-0.16,-0.28,0.56,-0.5,-0.44,0.86,-0.42,-0.24,0.14,0.22,0.54,0.32,0.1537303746739641,1.9890686136302334,3.5378518138324537,3.821351577260799,3.39159942718614
1.0,1.0,1.0,0.58,0.88,0.46,-0.32,0.36,-0.16,-0.38,0.02,-0.12,-0.26,-0.08,-0.02,-0.16,-0.12,0.32,-0.1,0.18,-0.52,-0.44,0.44,-1.0,-0.54,0.66,-0.6,-0.04,0.2,-0.08,1.4576268070807954,2.065664825068537,3.4464404841914065,0.9806452301359045,3.304196997411286
1.0,1.0,1.0,0.64,0.68,0.44,-0.42,0.18,-0.2,-0.52,-0.34,0.74,-0.14,-0.32,0.62,-0.14,0.08,-0.34,-0.38,-0.06,0.12,-0.18,-0.32,0.26,0.34,-0.88,-0.42,0.92,-0.78,-0.82,-0.15492376883176462,-0.7862320226173618,4.122467145667204,2.5710955233150283,3.5461973125194297
1.0,1.0,1.0,0.16,0.44,0.12,-0.7,-0.4,0.34,-0.48,-0.54,0.82,0.14,-0.14,-0.16,-0.12,-0.2,0.56,-0.14,-0.46,0.48,0.54,-0.24,-0.06,0.86,0.68,0.62,0.0,1.0,0.0,1.8843353374477605,2.4870044196863708,5.13546102625147,4.216548588504139,3.8656784940937627
1.0,1.0,1.0,0.64,0.8,0.52,0.02,-0.12,0.02,-0.3,-0.34,0.56,0.12,0.1,0.94,0.34,0.16,0.26,-0.16,-0.18,0.14,-0.66,-0.92,0.66,-0.96,-0.78,0.78,-0.7,-0.2,0.1,3.2001134302319123,1.4110833371771163,2.1615324288638815,2.627975679158486,4.5853480513180145
1.0,1.0,1.0,0.82,0.7,0.56,0.02,0.12,-0.1,-0.52,-0.34,0.3,-0.44,-0.38,0.94,-0.08,-0.02,0.46,-0.02,0.0,-0.14,-0.38,-0.18,0.12,-0.54,-0.42,0.8,-0.5,-0.8,0.62,0.8768760680915182,1.6815394499828136,3.005426675145924,2.386929751819184,3.1768537762364484
1.0,1.0,1.0,0.78,0.56,0.42,0.24,-0.18,0.1,-0.38,-0.78,0.36,-0.54,-0.72,0.7,-0.62,-0.14,0.36,-0.36,0.42,-0.5,-0.12,0.18,-0.26,0.06,0.08,0.3,-0.16,0.12,0.04,1.1618520412621443,1.1177732308013544,2.7025282910289996,4.006554724227999,2.019525080901835
1.0,1.0,1.0,0.52,0.74,0.42,-0.06,0.24,0.14,-0.54,-0.1,0.16,-0.26,-0.16,0.86,-0.1,-0.14,0.48,0.06,0.02,-0.4,-0.48,-0.1,-0.02,-0.64,-0.42,0.54,-0.04,-0.8,0.12,1.6606047434599627,0.8283774081731511,3.1532303782891447,2.1156311338759357,3.307515488355865
1.0,1.0,1.0,0.74,0.68,0.5,0.2,-0.3,-0.02,-0.22,-0.68,0.34,-0.46,-0.58,0.72,-0.38,-0.12,0.22,-0.02,-0.04,-0.3,0.06,-0.1,-0.28,-0.18,-0.36,0.22,-0.52,-0.2,0.04,-0.4607561526073476,0.47640816106872763,2.252761311577145,3.643604078692643,2.8106384212483277
1.0,1.0,1.0,0.94,0.7,0.64,0.9,-0.02,0.04,0.66,-0.82,-0.52,0.58,-0.94,-0.6,0.26,-0.58,-0.16,0.02,0.3,0.04,0.0,0.64,-0.08,-0.28,0.78,-0.26,-0.5,0.52,-0.38,1.420011465334232,0.6721050549243173,0.965377286623899,4.286719906174167,0.7816035505396881
1.0,1.0,1.0,0.44,0.7,0.3,-0.4,0.12,-0.16,-0.4,-0.16,0.52,0.12,0.18,0.18,-0.34,0.34,-0.76,-0.64,0.52,-0.36,0.2,-0.34,-0.06,0.96,-0.82,-0.86,0.46,-0.74,-0.6,0.9736264903842661,0.34695905136026417,4.266195255976914,1.7138418019880512,4.771466472152011
1.0,1.0,1.0,0.64,0.76,0.52,-0.04,0.22,-0.26,-0.64,-0.48,0.44,-0.62,-0.6,0.9,-0.16,-0.38,0.42,0.02,-0.26,-0.28,0.2,-0.18,0.1,0.02,0.22,0.56,0.22,-0.3,-0.04,1.5004208844682685,1.7563228000710542,3.7565427166154333,2.689700559251337,2.2942956214939842
1.0,1.0,1.0,0.62,0.58,0.4,-0.36,-0.14,-0.06,-0.58,-0.42,0.68,-0.26,-0.32,0.58,-0.04,0.1,-0.22,-0.22,0.1,0.36,-0.36,-0.42,0.46,0.28,-0.64,-0.48,0.98,-0.38,-0.36,0.9663326176257575,1.2588682033787684,4.254039193661425,3.039752297683573,3.376497977682527
1.0,1.0,1.0,0.78,0.42,0.36,0.16,-0.4,-0.04,-0.3,-0.88,0.34,-0.7,-0.54,0.68,-0.82,0.3,-0.36,-0.56,0.66,-0.62,-0.1,0.34,-0.24,0.24,-0.18,-0.1,0.32,-0.28,-0.84,0.26055778312626743,1.2957310891717668,2.870364143805081,4.920792624587886,1.680681152663766
1.0,1.0,1.0,0.62,0.72,0.46,-0.44,-0.18,0.18,-0.74,-0.48,0.58,-0.4,-0.6,0.72,0.04,-0.18,-0.26,0.06,-0.08,0.02,-0.08,-0.18,0.58,-0.04,-0.62,0.1,0.48,-0.44,-0.68,1.96374716055251,-0.2611713789872363,4.106481096386038,2.942631380553891,3.038165972439822
1.0,1.0,1.0,0.68,0.9,0.62,-0.26,0.44,-0.14,-0.54,0.28,-0.18,-0.22,-0.04,0.3,-0.04,0.16,-0.08,-0.12,0.18,-0.7,-0.46,0.48,-0.98,-0.14,0.46,-0.24,0.72,0.28,0.28,0.5434997500577263,1.0262995825469248,3.6269702161915345,1.0106112500723277,3.5242857366827094
1.0,1.0,1.0,0.52,0.42,0.34,-0.12,-0.22,0.14,-0.42,-0.48,0.82,0.0,0.08,0.8,0.12,-0.08,-0.08,-0.28,-0.66,0.22,-0.88,-0.84,0.92,-0.9,-0.34,0.32,-0.08,0.62,-0.06,1.8568328620781664,0.9041374681640314,2.6753335037697092,3.295937458409381,4.362083596947194
