0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.06,0.18,0.12,-0.14,0.0,-0.1,-0.12,-0.06,0.1,0.04,0.1,0.14,0.0,-0.02,-0.02,-0.14,0.04,-0.18,-0.04,0.1,0.1,0.06,-0.14,-0.08,0.04,0.14,-0.06,6.441643138420027,5.73622814694712,5.240753356609012,5.358396001989032,3.5815360860796828
1.0,1.0,1.0,0.04,0.1,-0.1,-0.18,-0.04,0.02,0.06,0.04,-0.1,-0.04,-0.16,-0.12,0.06,0.28,0.14,0.0,0.08,-0.12,0.04,-0.16,0.04,-0.02,-0.06,0.04,0.18,0.32,0.1,3.760844954767717,4.570830599327776,4.619132197587471,4.896092793809177,6.966381701885503
1.0,1.0,1.0,-0.12,0.06,-0.02,-0.22,-0.06,-0.04,0.12,0.04,0.16,-0.1,-0.14,0.12,0.08,0.18,0.06,-0.02,0.14,0.0,-0.1,0.08,0.14,-0.08,0.04,0.08,0.02,-0.08,-0.02,4.801547969183639,5.815403095849571,6.184202385268735,4.28634476575008,6.145016143889894
1.0,1.0,1.0,-0.02,-0.04,-0.06,-0.06,0.04,-0.06,0.08,0.14,0.02,0.04,0.22,-0.02,-0.04,-0.14,-0.06,0.22,0.0,-0.06,-0.12,0.16,0.08,-0.1,0.02,-0.08,-0.14,-0.02,-0.08,5.828026100299695,5.567909051071946,5.371492173134572,5.183738271427671,6.3785486437485375
1.0,1.0,1.0,0.18,0.2,-0.02,-0.14,-0.14,-0.08,0.06,-0.1,0.08,0.08,-0.06,0.02,-0.04,0.08,0.0,-0.12,-0.12,0.04,0.0,0.02,-0.18,-0.08,0.06,0.02,-0.08,-0.14,-0.06,6.375464863979808,5.875946849420229,3.5499036827569252,3.9560607150985536,3.1098727727479023
1.0,1.0,1.0,0.2,0.0,0.08,-0.16,-0.3,-0.1,-0.08,-0.08,0.04,0.02,0.04,0.06,-0.08,-0.04,0.16,0.02,0.0,0.02,-0.06,0.02,0.16,0.18,0.02,-0.12,0.08,0.04,0.08,5.176101954783654,3.6207034167138614,4.905986143958658,6.280455171640549,4.608635190252726
1.0,1.0,1.0,0.2,0.16,0.0,-0.26,-0.14,0.2,-0.06,-0.02,-0.04,0.04,0.06,-0.1,0.02,-0.04,0.02,-0.16,-0.1,-0.06,0.02,-0.08,-0.02,0.0,-0.02,-0.06,-0.06,0.04,-0.06,5.684201618295129,2.900313391745446,5.461683073811095,3.7881677208130027,4.911900995668967
1.0,1.0,1.0,0.14,0.22,0.04,-0.28,0.12,0.04,-0.08,-0.02,0.1,0.1,-0.02,0.04,-0.16,-0.06,0.14,0.2,0.16,-0.04,-0.02,0.08,-0.22,-0.06,0.02,-0.08,-0.1,-0.08,-0.18,4.778911531894959,6.135248039920421,6.97991822730013,4.043841671493988,3.7545890152774444
1.0,1.0,1.0,0.18,0.04,0.02,-0.14,-0.08,-0.1,-0.06,-0.14,0.04,0.02,0.16,0.02,0.04,0.12,0.12,0.0,0.02,-0.18,0.08,-0.04,-0.12,-0.08,-0.02,-0.1,-0.08,0.0,-0.08,5.102324221974858,5.099404147631645,3.89913872463387,5.0676681159353345,5.449442352537054
1.0,1.0,1.0,0.1,0.0,0.1,0.02,-0.18,-0.08,-0.06,-0.2,0.14,-0.14,-0.02,-0.12,0.08,0.02,-0.02,-0.02,-0.16,0.02,-0.04,-0.02,0.22,0.06,0.04,0.1,-0.06,0.0,-0.02,4.455501489794362,4.796422352443289,4.643689592356452,6.29403351255033,5.537807712903848
1.0,1.0,1.0,0.18,0.1,0.0,-0.14,0.0,-0.1,0.08,-0.12,0.0,-0.06,-0.04,0.02,-0.06,0.02,0.04,0.0,-0.02,0.06,-0.16,0.12,-0.08,0.1,-0.12,0.02,-0.06,-0.08,-0.22,4.383482893415925,5.714654974396032,3.7994341988215625,4.598221066926346,4.6740375666818945
1.0,1.0,1.0,0.14,-0.16,-0.1,-0.18,-0.14,0.04,0.12,-0.02,-0.02,-0.06,-0.08,0.1,-0.04,-0.14,0.06,-0.02,0.22,0.0,-0.12,-0.14,-0.14,0.08,-0.08,0.04,0.06,-0.18,0.04,7.060250752316733,4.40080448445763,4.835685586221983,5.7378892653682865,5.875531046076939
1.0,1.0,1.0,0.2,0.0,-0.04,-0.06,0.0,-0.22,-0.1,0.0,0.14,-0.12,0.1,-0.02,-0.08,-0.04,0.0,-0.02,0.02,-0.12,-0.06,0.02,-0.08,0.04,0.0,0.04,0.0,-0.24,-0.08,6.311252704218213,6.397579966312096,4.016595663309057,4.96700896221046,6.191645599257516
1.0,1.0,1.0,0.1,0.16,-0.18,-0.04,-0.1,-0.06,-0.06,0.0,0.02,-0.02,0.0,0.06,0.08,0.06,0.22,0.12,-0.04,-0.04,-0.22,-0.02,-0.08,-0.04,0.06,-0.02,-0.1,-0.02,-0.12,5.239809972883127,5.093408519595813,4.434341270304156,5.388231129112788,6.377639254409846
1.0,1.0,1.0,0.08,0.0,0.08,-0.14,0.0,0.02,0.04,-0.08,-0.12,-0.02,-0.02,-0.04,-0.14,0.04,-0.18,-0.12,0.02,-0.02,-0.1,0.08,0.18,0.26,-0.12,0.02,-0.16,-0.14,-0.06,5.7623780062069185,5.760947013881651,4.664021331944857,5.296756225501431,4.723925211739781
1.0,1.0,1.0,0.1,0.16,0.06,-0.26,0.02,-0.04,0.06,-0.02,0.0,0.12,-0.1,0.06,0.02,-0.08,-0.18,-0.16,0.16,-0.12,-0.06,0.16,0.1,0.0,0.0,-0.08,0.06,-0.02,0.12,3.876186170436024,4.787792675913514,5.457723726379049,4.9981907024600964,5.211199810964454
1.0,1.0,1.0,0.16,0.14,0.02,-0.22,-0.08,0.06,-0.14,-0.02,-0.04,0.1,0.06,-0.08,0.02,0.04,-0.3,0.1,0.04,0.22,-0.14,0.12,-0.02,-0.04,-0.12,0.0,0.06,0.16,0.1,3.128240839229689,4.798089285122794,5.283355517441624,4.541694161552403,4.823773242404449
1.0,1.0,1.0,0.24,0.18,0.1,-0.16,-0.08,0.2,0.0,0.18,0.14,-0.04,0.02,0.14,-0.04,0.18,-0.02,-0.04,0.12,-0.04,-0.14,-0.02,0.04,0.12,-0.14,-0.02,0.16,0.02,-0.06,2.6380145468930234,4.334172701190255,4.771479622479392,5.312560272491137,5.671814743820283
1.0,1.0,1.0,-0.02,0.0,0.34,-0.28,-0.18,-0.06,0.02,-0.1,0.12,-0.12,0.04,0.04,0.1,-0.08,0.06,-0.02,-0.06,-0.2,0.04,-0.14,0.02,0.08,-0.1,0.02,-0.14,-0.06,0.0,4.811645411017404,4.300688735691271,5.490880947566763,6.13770411764841,5.076961673516432
1.0,1.0,1.0,0.08,0.18,-0.1,0.08,-0.1,0.1,0.04,-0.08,-0.04,0.02,0.14,0.12,-0.02,-0.08,-0.06,-0.12,-0.2,-0.08,0.08,0.04,0.0,0.16,0.02,0.14,-0.02,0.0,-0.02,5.213421749856571,5.050777922703887,3.9478122240805718,5.041997346327124,4.755609293606143
1.0,1.0,1.0,0.16,-0.04,0.04,-0.3,0.0,0.02,-0.06,0.1,-0.16,-0.16,-0.22,0.02,0.06,0.12,-0.02,-0.12,0.08,-0.08,0.16,-0.06,0.06,0.06,0.06,0.0,-0.06,-0.04,0.06,5.284651374876677,6.947822092545163,5.159816617045597,4.344523431699611,5.119848469586278
1.0,1.0,1.0,0.26,0.04,0.06,0.06,-0.26,0.0,0.04,-0.06,-0.02,-0.04,0.04,-0.04,-0.16,-0.06,-0.22,-0.04,0.1,0.06,0.1,-0.14,-0.04,0.0,0.02,-0.06,-0.04,0.02,-0.02,4.262605223102332,4.712264616483163,3.389701568976349,5.971375219791188,4.5879570971786166
1.0,1.0,1.0,0.2,0.12,-0.08,-0.14,0.0,0.02,0.0,0.08,0.04,-0.02,0.02,0.0,-0.04,0.1,0.02,-0.16,0.12,-0.04,0.02,-0.02,-0.04,0.24,0.06,-0.18,0.04,-0.06,-0.06,7.078193009882649,5.025058306035483,2.471674036105175,4.23641363544657,4.782412407289272
1.0,1.0,1.0,0.2,0.2,-0.04,-0.24,-0.28,0.12,-0.1,-0.02,0.08,0.02,-0.12,0.02,-0.08,0.02,-0.02,0.0,-0.18,0.14,0.06,0.02,0.0,0.14,-0.06,0.0,0.04,0.1,0.1,6.374700190677654,4.865655635263365,6.3027453008968255,5.560361937976296,2.61298968483429
1.0,1.0,1.0,-0.26,0.18,0.04,-0.06,-0.04,0.14,0.0,-0.12,0.16,-0.1,-0.02,0.0,-0.16,0.02,-0.02,0.06,-0.12,-0.26,-0.06,0.08,0.06,-0.1,0.16,-0.14,0.06,0.02,0.12,4.48710786330294,4.169092837253874,6.524057441351761,4.287765330540265,6.319301682262704
1.0,1.0,1.0,-0.04,0.08,-0.08,0.1,0.06,-0.04,0.12,0.18,0.1,0.0,-0.04,0.08,-0.04,0.0,0.08,-0.02,-0.02,-0.04,0.0,0.0,0.08,0.02,0.04,-0.14,0.28,0.04,0.04,5.399293251673186,6.024110017603091,4.847272218313181,5.130178325961607,7.165855900085413
