0_0,0_1,0_2,1_0,1_1,1_2,decay_0,decay_1,W_0,W_1,J_0
0.68,0.376,0.28,-0.24,-0.088,0.024,6.992065221885467,2.5024429678965867,8.33997645756654,5.325824673601423,2.150132014245391
0.696,0.468,0.324,0.104,-0.072,0.008,4.802784925934151,4.248956180232678,7.492282904797019,1.5223384439598782,1.7611316733451403
0.364,0.524,0.128,0.016,-0.1,0.028,4.885039346208341,6.720664905197406,4.652142767000579,7.086732681430497,2.759220864646817
0.624,0.5,0.276,-0.14,-0.072,-0.012,5.481167578993824,3.3637150379418914,5.657320408030214,4.623076430560913,4.72726043401332
0.456,0.36,0.192,0.004,-0.056,-0.02,6.154544881850415,6.671419175500989,6.214736252681163,4.048573198014289,5.82766080104801
0.38,0.396,0.176,-0.096,-0.12,0.104,5.2600066162623635,4.198740418910427,6.944957963936405,7.9736959737038005,4.330593671381541
0.428,0.536,0.204,-0.06,-0.072,0.004,4.730852606421919,6.42617864395872,6.685462041621056,6.841391281997238,-0.01010247663925501
0.476,0.628,0.344,-0.048,-0.04,-0.048,4.240381917133504,5.640971661554301,3.008211922772579,4.454477338474847,4.014189855597257
0.516,0.372,0.208,-0.068,-0.064,-0.028,3.3975423735859156,4.870266033494732,5.697819356304594,5.4464790591908425,6.754866111637218
0.488,0.424,0.2,-0.212,-0.016,-0.068,7.440402830580405,4.0564924734351475,4.747102823857776,6.282578439983299,3.7790795853329415
0.384,0.468,0.18,-0.008,-0.088,0.12,5.147173113733325,6.432906309727652,6.432825148276911,5.865421087452464,5.2361098595386615
0.376,0.476,0.196,0.02,-0.176,0.076,1.5432850995195961,6.972678438712418,7.029999693949872,4.431400795553322,6.780837626365443
0.548,0.504,0.348,-0.024,-0.12,0.032,4.414775178047938,6.596638343120117,4.972155968622827,3.3307790298164486,4.964200022019835
0.428,0.524,0.232,-0.096,0.012,0.076,5.8355263328470075,6.488529806991289,3.4939354057483034,5.000264281562049,3.3480028955200978
0.528,0.528,0.272,-0.048,-0.224,0.104,3.1746299635314856,5.965983976393685,6.1153867471485,3.9412445904198523,2.907682921034782
0.332,0.332,0.144,0.04,0.032,0.04,3.9011887708370225,5.167146693058765,6.489697681945161,3.98202546748025,10.19604222516243
0.552,0.348,0.22,-0.108,0.008,0.012,7.327798958037675,4.135240350181759,4.929309295048204,4.652123703558964,5.187238086887054
0.428,0.576,0.26,-0.124,-0.072,-0.004,3.2321506612933457,5.217375023296899,3.911405976366975,4.163100382304191,4.268368670695275
0.332,0.488,0.14,-0.16,-0.236,0.076,3.591934019868245,2.925937482634538,6.875492400262893,10.151199366638895,3.9062909760193705
0.436,0.532,0.312,-0.26,-0.096,0.14,5.134930078319768,1.821683081019979,3.5313781845380054,6.845399490636236,5.98531203265551
0.644,0.548,0.408,0.104,-0.068,0.036,4.6641808078709515,4.469135561078223,6.001352986270382,2.2040982030072396,2.4983622697423695
0.316,0.484,0.168,-0.032,-0.152,0.016,0.96134406653624,6.602449198035427,7.2202644337823,6.001819182389092,7.064951584944206
0.456,0.472,0.288,-0.184,-0.28,0.128,2.9987769108474,2.319086634498541,7.136806330714933,8.047855565572458,5.1983980948101625
0.62,0.6,0.34,-0.168,0.116,-0.052,4.92036354172165,3.0590407762974094,1.8812715992797422,4.612141980734549,2.9424330275820973
0.28,0.356,0.068,0.032,0.032,-0.032,6.22022232263077,9.53548867467678,3.2111717807403855,3.738204233056612,11.06063936352836
0.532,0.56,0.324,-0.116,-0.156,0.088,2.8374832933948353,5.706176782993886,4.870869344592264,2.662316352416088,3.663174704814469
0.64,0.596,0.412,-0.068,-0.14,0.112,2.1511136046333577,2.1826102598192634,3.789208709834831,2.770115508732521,6.465425781398553
0.48,0.308,0.212,-0.116,0.048,-0.012,8.266680207272312,4.034101749003189,6.643979723993164,3.4163743653842253,6.925017380082307
0.524,0.452,0.28,-0.132,-0.08,0.076,5.319322622323827,3.14798720761034,4.370871812884649,4.5692586664817,6.3089591225465504
0.384,0.456,0.16,0.004,-0.024,0.06,4.287636024288213,5.033391816459417,2.800587817478563,4.738535738832027,8.22955039829634
0.38,0.524,0.232,-0.056,-0.268,0.068,3.135319424089487,6.0734841205160555,8.137024957049075,4.911746734441077,2.9274300066968566
0.456,0.392,0.16,-0.052,-0.112,-0.012,5.9196565745150895,6.199807507664083,4.76903751377464,3.702229105128169,6.519072768673732
0.384,0.372,0.18,-0.028,-0.044,0.008,7.776045081326204,6.913199145647642,4.695908450260108,5.117892905699339,5.287620581922587
0.344,0.372,0.116,0.024,0.052,0.036,4.740532340099733,6.631957388536731,5.180469321457516,4.080162027494527,8.358004042629648
0.572,0.664,0.388,-0.032,0.036,-0.036,3.683890835518505,4.477154307453775,3.3231425267804564,3.627162065467446,2.796505119725414
0.292,0.44,0.148,-0.04,0.004,0.036,8.444256268959544,4.876711824117278,2.755155448486316,8.215822858474544,6.20505647857989
0.348,0.748,0.296,-0.156,-0.144,0.036,2.399461491455993,5.463778653577876,3.9474015100694073,7.269399330314677,2.5282420496694207
0.336,0.348,0.092,0.016,0.004,-0.004,7.272226168216401,4.794755215823259,6.816614102392713,7.862690063321809,6.603170306081265
0.492,0.448,0.22,0.04,-0.092,-0.004,5.6604831750521605,6.114556786435196,4.585097765406072,4.115768655265639,4.6429739415643745
0.504,0.636,0.324,-0.048,-0.008,0.008,3.5630733889200497,4.190171481621278,0.5143978825320357,3.5551413717409632,6.822261043380545
0.38,0.308,0.096,-0.156,-0.016,0.06,7.5677990964526884,4.041815244585465,6.4798706190463395,6.611944168717105,6.1675964948752116
0.44,0.524,0.228,-0.068,-0.2,0.044,3.922746762748141,8.091455297100794,6.7621168394290425,3.868084505237639,3.165796237138235
0.524,0.44,0.3,-0.264,-0.228,0.172,4.143374746746387,0.007901199072251508,5.317280045780995,8.545514720345578,5.8936009111597665
0.516,0.6,0.34,-0.22,-0.06,0.2,2.3740165934243325,1.2222945162404741,3.7648977508449306,5.656483357180929,6.83679848220609
0.54,0.72,0.468,-0.076,-0.096,0.076,2.290960124728251,5.225450411265655,2.8714057351375257,3.1132575228851964,4.830297779827979
0.432,0.488,0.232,0.048,0.04,0.056,7.615006336643335,6.536098165487346,2.2107955949010925,3.697142729892914,1.481260955265573
0.508,0.656,0.372,-0.108,-0.172,0.032,2.197344039901766,3.711395008189438,3.7822336370363048,6.997977506920359,4.80872464635852
0.476,0.628,0.28,-0.12,-0.16,0.04,3.028826450394905,5.412536802301408,5.551460830746967,5.408996258404239,1.9147438761825728
0.468,0.436,0.208,-0.208,0.036,0.044,8.046707177555676,2.5363237439994646,3.7894280390526776,7.363748350617299,5.127317974099695
0.344,0.468,0.18,-0.056,-0.04,0.04,6.615179610308444,3.413463341492837,2.336296072444184,7.2948527174438205,7.284243636854301
0.516,0.448,0.252,-0.12,-0.032,-0.04,7.865460944817221,4.760218979983049,3.4309958742852196,6.010195469468288,4.288845277739663
0.316,0.268,0.136,0.004,0.016,-0.012,7.136650712245754,9.558559341679091,5.289428036330646,1.680750603950821,10.249959346348762
