0_0,0_1,0_2,1_0,1_1,1_2,decay_0,decay_1,W_0,W_1,J_0
0.576,0.508,0.268,-0.028,0.032,0.06,5.883927648879554,6.353295450649545,5.038924662381205,4.568919024967637,0.0
0.584,0.544,0.304,0.108,-0.308,0.032,2.981866221004114,4.079458307895184,7.795581607289977,3.9718543221056537,0.0
0.628,0.324,0.184,0.084,0.024,-0.06,8.313570957831185,4.755630828155951,5.2840784189611245,2.7700896862145874,0.0
0.564,0.736,0.396,-0.016,0.248,0.0,3.898806664138452,5.867144264244461,1.4879371470392497,4.050545732049712,0.0
0.616,0.724,0.42,-0.028,-0.236,0.008,1.6642988087364134,4.224007055347438,5.6793145822785895,5.349979051196839,0.0
0.384,0.612,0.22,-0.044,0.116,0.024,5.197725465600947,7.137044436551248,1.1408678123370524,6.5463685129743805,0.0
0.44,0.416,0.136,-0.064,-0.032,-0.016,8.042346892663641,7.798186445978347,7.39910359399112,5.629908528059551,0.0
0.372,0.46,0.16,-0.04,-0.044,0.052,6.608838304202999,6.382910838353892,4.743639508449024,8.390839163312645,0.0
0.444,0.824,0.364,0.072,0.424,0.0,2.6311073865648864,7.215212212617395,1.2234011901698971,4.758298310386999,0.0
0.54,0.472,0.228,0.02,0.092,-0.056,6.575934368148971,7.2579040788637705,4.381815284622239,1.3617278520847367,0.0
0.64,0.584,0.376,-0.308,0.028,0.008,4.075805832562488,2.7955026789884148,4.867556205569454,7.155934590433398,0.0
0.704,0.496,0.312,0.2,-0.084,-0.02,6.562013076301916,2.748421514992242,7.3037502307612625,2.5152544967691437,0.0
0.584,0.652,0.364,0.04,-0.804,-0.036,0.7347917252168887,4.904078448330551,8.29005149056653,3.5701881258753367,0.0
0.728,0.6,0.424,0.304,0.136,0.056,5.32685982259786,3.127739535073721,4.336071533102164,-0.7889850903211784,0.0
0.488,0.516,0.244,-0.224,-0.16,0.136,4.476593828496067,4.403152537582956,8.031878012320291,7.472822793229486,0.0
0.432,0.476,0.212,-0.028,0.028,0.016,5.363242484507327,8.273346525390155,5.77071620728309,6.113340349258344,0.0
0.556,0.792,0.412,-0.02,-0.884,-0.008,-1.1795763191681683,5.357447580573155,7.422212411925316,6.121726410329049,0.0
0.64,0.584,0.344,-0.512,0.048,-0.016,4.965849462266906,1.7743079611267891,3.5489845182151614,7.952835464076903,0.0
0.74,0.704,0.516,-0.24,0.356,-0.092,3.028771687663265,1.9711375062816567,1.9924894931173958,5.634968358728116,0.0
0.44,0.5,0.204,0.0,-0.08,-0.024,5.602561900794513,5.67877516400166,5.663527047029869,4.056866884823856,0.0
0.356,0.904,0.332,-0.1,0.368,-0.044,0.7083171321281085,7.01733845719709,3.0839733909762765,9.427093848809353,0.0
0.892,0.704,0.628,-0.488,0.268,-0.132,3.6798019641881483,-0.12106096221704998,1.1249626015178622,6.157784655488245,0.0
0.4,0.516,0.236,0.016,0.008,0.048,5.863086026386799,10.230844826263098,5.782670222526177,4.297272932209055,0.0
0.444,0.352,0.092,0.068,-0.012,-0.008,7.559066909283444,7.679372894764798,5.782318864078345,4.09358106484426,0.0
0.704,0.804,0.556,-0.716,0.132,-0.096,1.5758627528340146,0.7248973276362181,3.7443735577865342,8.18596841060847,0.0
0.544,0.552,0.328,-0.34,0.072,-0.004,5.4184385945011755,3.220566375404219,2.8197562849166773,7.96545560333008,0.0
0.412,0.376,0.14,0.044,-0.132,-0.04,7.3677792326087514,6.454644816515924,10.411502486764071,5.139936983574477,0.0
0.68,0.608,0.408,0.072,0.164,-0.004,5.069414415261813,3.41497575967704,1.0323694851835863,3.158589129667675,0.0
0.436,0.7,0.32,0.104,-0.072,0.0,3.0392746359513976,6.658281253556993,5.3163669561998,4.032336325796941,0.0
0.624,0.82,0.54,-0.14,0.036,-0.056,1.7386167942309902,4.753839511750184,4.131217745700786,6.806148311844085,0.0
0.652,0.612,0.336,0.024,-0.128,0.008,3.451547619660191,3.851532832605015,5.904619609876693,3.885551823961704,0.0
0.396,0.572,0.2,-0.012,0.052,-0.048,5.585373976309612,6.56067755390455,2.9227386052460753,4.535540979840789,0.0
0.648,0.912,0.616,-0.068,0.424,-0.036,0.5671153987172541,4.376795663319427,2.836522278315481,5.098405311629498,0.0
0.596,0.584,0.348,-0.028,-0.104,0.036,4.974082633195618,4.2301603374704895,6.193315172265157,4.67308285501555,0.0
0.496,0.528,0.256,-0.044,-0.068,0.016,4.307424670573375,6.137711712639197,5.326750491420762,5.357710118385909,0.0
0.692,0.74,0.52,-0.016,0.048,-0.016,1.6982131734786616,3.542412301752049,3.9236107684985937,4.709105401707772,0.0
