0_0,0_1,0_2,1_0,1_1,1_2,decay_0,decay_1,W_0,W_1,J_0
0.716,0.572,0.432,-0.16,0.08,0.032,6.234196250315682,3.4718326101694617,2.186976341810702,5.963896517712595,0.0
0.604,0.568,0.372,-0.02,-0.064,-0.044,5.0994052759019795,5.015211008867471,5.439469878999394,4.933936388859818,0.0
0.628,0.684,0.448,0.06,0.076,-0.008,3.1655792071678177,3.734685348678439,3.8943844412927957,3.797122551198608,0.0
0.56,0.628,0.404,0.048,0.032,-0.024,4.4396996813655205,4.883283263972001,4.921238535063925,3.9296823704638735,0.0
0.632,0.684,0.476,0.14,-0.016,-0.012,3.7102497064561533,4.704687431038122,3.9716461210147154,1.1480184127930175,0.0
0.54,0.712,0.364,-0.328,-0.044,-0.068,3.2129520027483496,2.7113116503384656,4.571220882034145,8.177111250186194,0.0
0.548,0.632,0.324,-0.324,0.028,0.056,5.321615920004631,2.926808177483944,3.653306844052901,7.571442339311806,0.0
0.588,0.868,0.504,-0.184,0.344,-0.104,1.8397316080710029,4.297778103395061,2.6546325759799854,5.752839403436202,0.0
0.428,0.472,0.132,0.04,-0.3,0.06,2.9983578688893573,8.366161974920123,8.17085983936375,4.916629871195265,0.0
0.612,0.54,0.304,-0.3,-0.324,0.04,2.8133202969598603,3.500028490470344,7.762421258055975,7.796766606943541,0.0
0.416,0.72,0.296,-0.248,-0.188,0.012,1.8401567010084428,4.277701705099806,5.430461954005465,9.186051814884207,0.0
0.536,0.472,0.256,-0.192,-0.236,0.036,3.2194334789899326,4.170719729152368,9.899957289926627,7.459735547149348,0.0
0.488,0.528,0.288,-0.152,-0.052,0.036,6.342153577332439,4.727610951215717,4.150265844467445,7.856347733285141,0.0
0.504,0.612,0.308,-0.028,0.024,0.028,4.376643519303517,4.898151995088157,4.033656347197569,5.90880814709328,0.0
0.568,0.672,0.376,-0.06,-0.16,-0.052,3.951757428377925,4.62904385094209,5.380167109894804,5.296571700142322,0.0
0.472,0.172,0.076,0.008,-0.064,-0.016,10.353405378661208,5.879617988479184,9.630581933291868,5.6911840278291566,0.0
0.52,0.472,0.248,0.036,-0.016,0.012,7.936568894677459,7.582012266171256,1.6877600670488087,3.2346529091874405,0.0
0.772,0.552,0.404,-0.036,-0.088,0.02,4.607163603841221,2.476514806439817,5.575682916397618,5.020437053426139,0.0
0.528,0.452,0.236,-0.188,-0.108,-0.048,8.22533639856508,5.884617978010889,4.426673194902591,6.555467837237415,0.0
0.532,0.496,0.252,-0.06,-0.084,-0.032,5.310492087465082,5.521082450996222,6.899954848350946,3.8078897597120913,0.0
0.416,0.348,0.084,-0.044,-0.088,0.076,5.251971033476545,7.763107525240084,10.289682624157917,5.450435748143268,0.0
0.492,0.568,0.308,-0.06,-0.028,-0.008,4.746153580770954,5.557116669595637,5.846374389054275,6.483730801678352,0.0
0.6,0.58,0.356,-0.036,-0.152,0.036,4.5430482308162565,4.058457075623708,6.007793136431815,4.337037416966187,0.0
0.62,0.432,0.324,-0.452,-0.036,0.072,8.765709327921996,2.1387741693287294,5.648691391997559,7.549200892875992,0.0
